IN,CusID,CusName,Drink,Size,Extra
1,101,Jesse Williams,a pumpkin spice latte,short,
2,102,Brooke Elliott,an iced salted caramel mocha,short,
3,103,Jenna Coleman,a chai tea latte,grande,a strawberry cheesecake
4,104,Scarlett Johansson,a pumpkin spice latte,short,a tomato and mozzarella panini
5,105,Ewan McGregor,an iced latte macchiato,tall,a fruit mix
6,106,Kyra Sedgwick,an iced pumpkin spice latte,short,a whole-grain feta sandwich
7,107,Olga Kurylenko,an iced salted caramel mocha,grande,
8,108,Chris Messina,an iced coffee mocha,tall,
9,109,Sean Murray,a raspberry lemonade,tall,a cheese toastie
10,110,Mark Feuerstein,a raspberry lemonade,short,
11,111,Seth Rogen,a lemonade,tall,a yogurt parfait
12,112,Reese Witherspoon,a cinnamon latte,short,
13,113,Billy Campbell,a salted caramel mocha,short,a white chocolate cheesecake
14,114,Jason Segel,an iced coffee mocha,short,a chicken and pesto panini
15,115,Emma Watson,an iced coffee mocha,tall,a dark chocolate bar
16,116,Russell Brand,an iced salted caramel mocha,grande,
17,117,Tina Fey,a pumpkin spice latte,tall,a vegan wrap
18,118,Kathy Bates,an iced salted caramel mocha,grande,a cheese toastie
19,119,Fred Armisen,an iced latte macchiato,tall,
20,111,Seth Rogen,a lemonade,tall,a yogurt parfait
21,120,Emma Thompson,a soy latte,short,a dark chocolate bar
22,107,Olga Kurylenko,an iced salted caramel mocha,grande,
23,121,Patricia Arquette,an iced coffee americano,short,
24,122,Danai Gurira,a bottle of water,short,
25,123,Victor Garber,a raspberry lemonade,short,a lemon cheesecake
26,124,Claire Danes,an iced caramel macchiato,grande,
27,117,Tina Fey,a pumpkin spice latte,tall,a vegan wrap
28,125,Chiwetel Ejiofor,an iced salted caramel mocha,short,a PBJ sandwich
29,114,Jason Segel,an iced coffee mocha,short,a chicken and pesto panini
30,126,Ashton Kutcher,an iced caramel macchiato,tall,a dark chocolate bar
31,127,Josh Charles,an iced coffee americano,tall,
32,128,Jason Bateman,a bottle of water,tall,
33,129,Jessica Biel,an iced pumpkin spice chai latte,tall,
34,130,Busy Philipps,an iced coffee americano,short,a salted caramel brownie
35,119,Fred Armisen,an iced latte macchiato,tall,
36,131,Kit Harington,a chai tea latte,tall,
37,132,Owen Wilson,a strawberry lemonade,grande,a cheese toastie
38,133,Scott Caan,an iced salted caramel mocha,tall,
39,134,Maisie Williams,a peach iced tea,grande,
40,135,Christian Kane,an iced latte macchiato,tall,a salted caramel brownie
41,136,Daniel Radcliffe,a chai tea latte,short,
