IN,CusID,CusName,Drink,Size,Extra
1,101,Sandra Bullock,a lemonade,short,an egg sandwich
2,102,Ewan McGregor,a cinnamon latte,short,
3,103,Emma Stone,a raspberry lemonade,short,a dark chocolate bar
4,104,Alexander Skarsgard,a bottle of water,tall,a raspberry cheesecake
5,105,Steve Carell,an iced salted caramel mocha,tall,
6,105,Steve Carell,an iced salted caramel mocha,tall,
7,106,Busy Philipps,an iced cordusio,short,
8,107,Marion Cotillard,an iced caramel macchiato,short,a PBJ sandwich
9,108,Ron Perlman,a salted caramel mocha,tall,a cheese toastie
10,109,Ansel Elgort,an iced coffee mocha,tall,a white chocolate cheesecake
11,110,Todd Bridges,a lemonade,short,a yogurt parfait
12,111,Deborah Ann Woll,an iced coffee mocha,short,a cheese toastie
13,112,Chiwetel Ejiofor,an iced salted caramel mocha,grande,
14,113,Emma Watson,an iced caramel macchiato,grande,a granola bar
15,114,Robert Downey Jr.,an iced caramel macchiato,short,
16,115,Ted Danson,a strawberry lemonade,grande,a salted caramel brownie
17,116,Shelley Hennig,an iced caramel macchiato,tall,
18,117,Missy Peregrym,an iced latte macchiato,tall,
19,118,Garrett Hedlund,an iced pumpkin spice latte,short,a whole-grain feta sandwich
20,118,Garrett Hedlund,an iced pumpkin spice latte,short,a whole-grain feta sandwich
21,119,Kit Harington,an iced latte macchiato,grande,a whole-grain feta sandwich
22,120,Chandra Wilson,an iced pumpkin spice latte,tall,a cinnamon swirl
23,104,Alexander Skarsgard,a bottle of water,tall,a raspberry cheesecake
24,121,Kristen Wiig,a peach iced tea,short,
25,105,Steve Carell,an iced salted caramel mocha,tall,
26,122,Tina Fey,an orange juice,grande,a lemon cheesecake
27,123,Beth Behrs,a bottle of water,grande,a lemon cheesecake
28,124,Maisie Williams,an iced latte macchiato,grande,a chicken and pesto panini
29,125,Chace Crawford,a salted caramel mocha,grande,a chicken and pesto panini
30,126,Sophie Turner,an iced cinnamon dolce latte,tall,a granola bar
31,127,Emma Thompson,a chai tea latte,short,
32,128,Anna Gunn,an iced pumpkin spice latte,short,
33,129,Matt Damon,a bottle of water,tall,a vegan wrap
34,103,Emma Stone,a raspberry lemonade,short,a dark chocolate bar
35,130,Reese Witherspoon,an iced latte macchiato,grande,
36,121,Kristen Wiig,a peach iced tea,short,
37,131,Rupert Grint,an iced cordusio,grande,
38,132,Jenna Coleman,an orange juice,grande,a lemon cheesecake
39,133,Billy Campbell,a peach iced tea,grande,a yogurt parfait
40,134,Claire Danes,an iced pumpkin spice chai latte,tall,
41,134,Claire Danes,an iced pumpkin spice chai latte,tall,
42,135,Grant Gustin,an iced coffee mocha,tall,a white chocolate cheesecake
43,136,Melissa Rauch,an iced cordusio,short,
44,120,Chandra Wilson,an iced pumpkin spice latte,tall,a cinnamon swirl
45,134,Claire Danes,an iced pumpkin spice chai latte,tall,
46,114,Robert Downey Jr.,an iced caramel macchiato,short,
47,126,Sophie Turner,an iced cinnamon dolce latte,tall,a granola bar
48,137,Lyndsy Fonseca,an iced cordusio,grande,a yogurt parfait
49,138,Mark Feuerstein,a soy latte,tall,
50,139,Chris O'Donnell,an iced cordusio,short,a raspberry cheesecake
51,140,Eric Dane,an iced cinnamon dolce latte,tall,
52,140,Eric Dane,an iced cinnamon dolce latte,tall,
53,141,Seth Rogen,a cinnamon latte,short,a tomato and mozzarella panini
54,136,Melissa Rauch,an iced cordusio,short,
55,142,Jason Segel,a pumpkin spice latte,tall,
56,130,Reese Witherspoon,an iced latte macchiato,grande,
57,123,Beth Behrs,a bottle of water,grande,a lemon cheesecake
58,115,Ted Danson,a strawberry lemonade,grande,a salted caramel brownie
59,143,Cory Monteith,a strawberry lemonade,short,a PBJ sandwich
60,134,Claire Danes,an iced pumpkin spice chai latte,tall,
61,144,Marg Helgenberger,a bottle of water,tall,
62,128,Anna Gunn,an iced pumpkin spice latte,short,
63,145,Olga Kurylenko,an iced cordusio,tall,a yogurt parfait
64,146,Chris Messina,a salted caramel mocha,tall,a salted caramel brownie
65,147,Scarlett Johansson,a raspberry lemonade,grande,a chicken and pesto panini
66,148,Nicole Kidman,a bottle of water,short,
67,149,Paul Rudd,an iced caramel macchiato,short,
68,150,Victor Garber,an iced salted caramel mocha,short,
69,107,Marion Cotillard,an iced caramel macchiato,short,a PBJ sandwich
70,139,Chris O'Donnell,an iced cordusio,short,a raspberry cheesecake
71,151,Leslie Mann,a strawberry lemonade,tall,
72,152,David Spade,an iced pumpkin spice chai latte,tall,a yogurt parfait
73,153,Kyra Sedgwick,an iced coffee mocha,grande,
74,154,Poppy Montgomery,a strawberry lemonade,short,
75,155,Amy Brenneman,an iced cinnamon dolce latte,tall,a salted caramel brownie
76,151,Leslie Mann,a strawberry lemonade,tall,
77,127,Emma Thompson,a chai tea latte,short,
78,149,Paul Rudd,an iced caramel macchiato,short,
79,156,Lindsay Lohan,a cinnamon latte,tall,
80,157,Anna Kendrick,an iced salted caramel mocha,grande,a granola bar
81,158,Jesse Williams,an iced pumpkin spice latte,short,a lemon cheesecake
82,124,Maisie Williams,an iced latte macchiato,grande,a chicken and pesto panini
83,144,Marg Helgenberger,a bottle of water,tall,
84,159,Candice King,an iced cinnamon dolce latte,tall,
85,130,Reese Witherspoon,an iced latte macchiato,grande,
86,118,Garrett Hedlund,an iced pumpkin spice latte,short,a whole-grain feta sandwich
87,152,David Spade,an iced pumpkin spice chai latte,tall,a yogurt parfait
88,160,Russell Brand,an iced cordusio,tall,a PBJ sandwich
89,161,Hayden Christensen,a salted caramel mocha,grande,
90,110,Todd Bridges,a lemonade,short,a yogurt parfait
91,132,Jenna Coleman,an orange juice,grande,a lemon cheesecake
92,118,Garrett Hedlund,an iced pumpkin spice latte,short,a whole-grain feta sandwich
93,122,Tina Fey,an orange juice,grande,a lemon cheesecake
94,146,Chris Messina,a salted caramel mocha,tall,a salted caramel brownie
95,162,Bradley Cooper,a soy latte,short,
96,160,Russell Brand,an iced cordusio,tall,a PBJ sandwich
97,163,Ashton Kutcher,a salted caramel mocha,short,a yogurt parfait
98,164,Eddie Redmayne,a pumpkin spice latte,short,a granola bar
99,121,Kristen Wiig,a peach iced tea,short,
100,106,Busy Philipps,an iced cordusio,short,
101,164,Eddie Redmayne,a pumpkin spice latte,short,a granola bar
102,165,Jessica Biel,a soy latte,grande,
103,141,Seth Rogen,a cinnamon latte,short,a tomato and mozzarella panini
104,166,Owen Wilson,an iced caramel macchiato,short,
105,146,Chris Messina,a salted caramel mocha,tall,a salted caramel brownie
