IN,CusID,CusName,Drink,Size,Extra
1,101,Alexander Skarsgard,a soy latte,short,a fruit mix
2,102,Eddie McClintock,an iced pumpkin spice latte,tall,a dark chocolate bar
3,103,Chandra Wilson,an iced coffee americano,short,a granola bar
4,104,Jason Sudeikis,an iced cinnamon dolce latte,short,a cheese toastie
5,105,Nicole Kidman,an iced pumpkin spice latte,grande,
6,106,Mads Mikkelsen,an orange juice,short,a tomato and mozzarella panini
7,107,Robert Downey Jr.,an iced pumpkin spice latte,tall,
8,108,Marion Cotillard,an iced coffee americano,grande,
9,109,Shelley Hennig,a soy latte,grande,
10,110,Olga Kurylenko,a raspberry lemonade,tall,
11,111,Steve Carell,a salted caramel mocha,tall,a chocolate brownie
12,112,Emma Stone,a peach iced tea,grande,a whole-grain feta sandwich
13,113,Candice King,an iced latte macchiato,short,
14,114,Jessica Biel,an iced coffee mocha,grande,
15,103,Chandra Wilson,an iced pumpkin spice latte,short,
16,115,Matt Damon,a raspberry lemonade,short,
17,116,Carey Mulligan,an iced latte macchiato,grande,
18,117,Sophie Turner,a raspberry lemonade,tall,
19,118,Michael Fassbender,an iced latte macchiato,short,a chicken and pesto panini
20,119,Gina Bellman,a bottle of water,short,
21,120,Jason Segel,an iced latte macchiato,short,a granola bar
22,109,Shelley Hennig,a soy latte,grande,
23,121,Deborah Ann Woll,a strawberry lemonade,tall,
24,122,Fred Armisen,a lemonade,tall,a tomato and mozzarella panini
25,123,Josh Charles,an iced caramel macchiato,grande,
26,124,Seth Rogen,an iced pumpkin spice chai latte,tall,
27,121,Deborah Ann Woll,a strawberry lemonade,tall,
28,125,Tina Fey,a cinnamon latte,tall,
29,126,Kristen Wiig,an iced latte macchiato,grande,an egg sandwich
30,127,Chris O'Donnell,a peach iced tea,short,
31,128,Suzanne Somers,a chai tea latte,short,a strawberry cheesecake
32,129,Michael Vartan,an iced caramel macchiato,grande,a vegetable sandwich
33,130,Mark Feuerstein,an iced caramel macchiato,tall,
34,131,Melissa Rauch,an iced salted caramel mocha,short,
35,132,Anna Kendrick,a salted caramel mocha,tall,
36,133,Owen Wilson,a strawberry lemonade,grande,a vegan wrap
37,119,Gina Bellman,a bottle of water,short,
38,117,Sophie Turner,a raspberry lemonade,tall,
39,134,Emma Watson,an iced pumpkin spice chai latte,tall,a granola bar
40,104,Jason Sudeikis,an iced cinnamon dolce latte,short,a cheese toastie
41,135,Poppy Montgomery,a lemonade,short,a fruit mix
42,115,Matt Damon,a raspberry lemonade,short,
43,136,Kathy Bates,a peach iced tea,grande,
44,137,Danai Gurira,an iced pumpkin spice chai latte,tall,a lemon cheesecake
45,138,Jesse Williams,an iced coffee americano,tall,a PBJ sandwich
46,126,Kristen Wiig,an iced latte macchiato,grande,an egg sandwich
47,139,Billy Campbell,a cinnamon latte,tall,
48,140,Kristen Bell,a cinnamon latte,tall,a vegan wrap
49,141,Lindsay Lohan,an iced latte macchiato,tall,
50,139,Billy Campbell,a chai tea latte,grande,
51,131,Melissa Rauch,an iced salted caramel mocha,short,
52,101,Alexander Skarsgard,a soy latte,short,a fruit mix
53,142,Brooke Elliott,an orange juice,grande,a milk chocolate bar
54,143,Eddie Redmayne,a soy latte,grande,a cinnamon swirl
55,144,Marg Helgenberger,an iced caramel macchiato,grande,a raspberry cheesecake
56,145,Maisie Williams,a soy latte,tall,
57,142,Brooke Elliott,an orange juice,grande,a milk chocolate bar
58,146,Terrence Howard,an iced pumpkin spice latte,short,a PBJ sandwich
59,147,Anna Gunn,a soy latte,short,
60,148,Cory Monteith,an iced coffee mocha,grande,
61,149,Ted Danson,a bottle of water,short,a white chocolate cheesecake
62,150,Laurie Holden,a lemonade,tall,
63,151,Ashton Kutcher,an iced pumpkin spice chai latte,short,
64,152,Paul Rudd,a raspberry lemonade,grande,
65,153,Todd Bridges,an iced pumpkin spice chai latte,grande,a vegan wrap
66,147,Anna Gunn,a pumpkin spice latte,tall,
67,150,Laurie Holden,a lemonade,tall,
68,154,Lyndsy Fonseca,an iced latte macchiato,tall,a yogurt parfait
69,138,Jesse Williams,a pumpkin spice latte,grande,a vegetable sandwich
70,114,Jessica Biel,an iced cordusio,short,
71,125,Tina Fey,a cinnamon latte,tall,
72,155,Ewan McGregor,an iced pumpkin spice latte,tall,
73,156,Russell Brand,an iced pumpkin spice latte,short,
