IN,CusID,CusName,Drink,Size,Extra
1,1,Troian Bellisario,a cordusio,small,
2,2,Simon Baker,a hot chocolate,small,a plain bagel
3,3,Ashley Benson,a white hot chocolate,large,
4,4,Sandra Oh,an Earl Grey,medium,
5,5,Taylor Schilling,a black tea,small,a chocolate chip cookie
6,6,Lena Dunham,a breakfast tea,small,
7,7,Hugh Laurie,a latte,small,a pain au chocolat
8,4,Sandra Oh,an Earl Grey,medium,
9,8,Kevin Costner,a caramel macchiato,medium,
10,9,Cote de Pablo,a latte,medium,an everything bagel
11,10,Jon Hamm,a white hot chocolate,large,
12,11,Jessica Capshaw,an espresso con panna,small,
13,4,Sandra Oh,an Earl Grey,medium,
14,12,Kerry Washington,a latte,medium,a blueberry oatmeal
15,13,John Noble,a flat white,medium,a pain aux raisins
16,14,Ginnifer Goodwin,a black tea,small,
17,15,Mark Wahlberg,a mocha,small,
18,1,Troian Bellisario,a cordusio,small,
19,16,Mindy Kaling,an espresso con panna,medium,
20,17,Jensen Ackles,a cordusio,large,an everything bagel
21,18,Anne Hathaway,a caramel macchiato,small,a blueberry muffin
22,19,Leonardo DiCaprio,a black tea,small,
23,20,Sarah Michelle Gellar,a noisette,medium,a breakfast tortilla wrap
24,21,Timothy Olyphant,a flat white,medium,
25,22,Melissa Joan Hart,an Earl Grey,large,
26,23,Roseanne Barr,a white hot chocolate,large,
27,24,Ellen Pompeo,a green tea,small,a blueberry muffin
28,25,Joel Kinnaman,an Earl Grey,medium,a classic oatmeal
29,4,Sandra Oh,an Earl Grey,medium,
30,26,Lea Michele,a salted caramel hot chocolate,small,a gingerbread cookie
31,3,Ashley Benson,a white hot chocolate,large,
32,22,Melissa Joan Hart,an Earl Grey,large,
33,26,Lea Michele,a salted caramel hot chocolate,small,a gingerbread cookie
34,27,Teri Hatcher,an espresso macchiato,large,
35,28,Will Smith,a breakfast tea,large,
36,29,Chris Colfer,a green tea,small,
37,30,Jane Lynch,a white hot chocolate,large,
38,31,Melissa McBride,a noisette,medium,a lemon pound cake
39,32,Brad Pitt,a caramel macchiato,small,
40,33,Anna Torv,an espresso con panna,medium,
41,6,Lena Dunham,a breakfast tea,small,
42,34,Jesse Tyler Ferguson,a cappuccino,medium,a pain au chocolat
43,22,Melissa Joan Hart,an Earl Grey,large,
44,35,Josh Radnor,a flat white,small,
45,11,Jessica Capshaw,an espresso con panna,small,
46,9,Cote de Pablo,a latte,medium,an everything bagel
47,36,Kaley Cuoco,an iced hot chocolate,medium,a double chocolate muffin
