1:Damian Lewis-[['a flat white', 'small', 'a chocolate chip muffin'], ['a green tea', 'small', ''], ['a breakfast tea', 'small', '']]
2:Jim Caviezel-[['a cordusio', 'large', 'a blueberry oatmeal'], ['an espresso con panna', 'large', 'an almond croissant'], ['a cordusio', 'small', '']]
3:Sarah Michelle Gellar-[['an espresso', 'medium', 'a pain au chocolat'], ['a hot chocolate', 'medium', 'a blueberry muffin'], ['a hot chocolate', 'medium', 'a blueberry muffin']]
4:Will Smith-[['a peppermint hot chocolate', 'small', ''], ['an Earl Grey', 'large', ''], ['an Earl Grey', 'large', '']]
5:Lena Dunham-[['an espresso con panna', 'medium', 'a slice of banana bread'], ['an espresso con panna', 'medium', 'a slice of banana bread'], ['an espresso con panna', 'medium', 'a slice of banana bread']]
6:Charlize Theron-[['a breakfast tea', 'large', 'a blueberry oatmeal'], ['a flat white', 'large', ''], ['a flat white', 'large', '']]
7:Kiefer Sutherland-[['a black tea', 'medium', ''], ['a green tea', 'large', ''], ['a green tea', 'large', '']]
8:David Schwimmer-[['a white hot chocolate', 'large', ''], ['a cappuccino', 'medium', 'a blueberry muffin'], ['a green tea', 'large', '']]
9:Rachel Bilson-[['an Earl Grey', 'medium', 'a veggie tortilla wrap'], ['a breakfast tea', 'small', 'a carrot cake'], ['an iced hot chocolate', 'large', '']]
10:Norman Reedus-[['a black tea', 'medium', ''], ['a latte', 'medium', ''], ['a latte', 'medium', '']]
11:Matthew Morrison-[['a green tea', 'small', 'a slice of banana bread'], ['a latte', 'small', 'a gingerbread cookie'], ['a latte', 'small', 'a gingerbread cookie']]
12:Cote de Pablo-[['a salted caramel hot chocolate', 'small', 'a doughnut'], ['a salted caramel hot chocolate', 'small', 'a doughnut'], ['a black tea', 'medium', '']]
13:Joel Kinnaman-[['a white hot chocolate', 'small', ''], ['a white hot chocolate', 'small', ''], ['an iced hot chocolate', 'medium', 'a pain au chocolat']]
14:Kerry Washington-[['a cordusio', 'medium', 'a gingerbread cookie'], ['a cordusio', 'medium', 'a gingerbread cookie'], ['a mocha', 'medium', 'a slice of banana bread']]
15:Sarah Wayne Callies-[['a latte', 'small', 'a pain au chocolat'], ['an espresso macchiato', 'large', 'a carrot cake'], ['an espresso', 'small', 'a blueberry oatmeal']]
16:Kodi Smit-McPhee-[['a green tea', 'small', 'a croissant'], ['a latte', 'large', 'a pain aux raisins'], ['a latte', 'large', 'a pain aux raisins']]
