IN,CusID,CusName,Drink,Size,Extra
1,1,Sandra Oh,a breakfast tea,small,a pain au chocolat
2,2,Ryan Gosling,a salted caramel hot chocolate,large,
3,3,Kaley Cuoco,an espresso con panna,medium,
4,4,Leonardo DiCaprio,an espresso con panna,medium,a chocolate chip muffin
5,5,Lena Dunham,a caramel macchiato,large,
6,6,Melissa Joan Hart,a cordusio,small,a chocolate chip cookie
7,7,Michael Emerson,an iced hot chocolate,large,a veggie tortilla wrap
8,8,Taylor Schilling,a black tea,medium,
9,9,Alyson Hannigan,an espresso macchiato,small,
10,10,Hugh Laurie,a latte,small,a slice of banana bread
11,11,Simon Baker,a black tea,small,a pain au chocolat
12,1,Sandra Oh,an americano,large,
13,12,Kerry Washington,a black tea,large,a chocolate chip cookie
14,13,Josh Radnor,a salted caramel hot chocolate,medium,a pain aux raisins
15,14,John Noble,a flat white,medium,
16,15,Angelina Jolie,an americano,large,a blueberry oatmeal
17,16,Troian Bellisario,a latte,medium,
18,17,Roseanne Barr,a black tea,small,a veggie tortilla wrap
19,18,Kevin Bacon,an americano,medium,a blueberry muffin
20,19,David Boreanaz,an iced hot chocolate,large,a carrot cake
21,20,Joel McHale,an Earl Grey,medium,
22,21,Melissa McBride,an espresso,medium,a plain bagel
23,22,Jesse Tyler Ferguson,an iced hot chocolate,large,a breakfast tortilla wrap
24,22,Jesse Tyler Ferguson,an iced hot chocolate,large,a breakfast tortilla wrap
25,23,Zac Efron,an espresso con panna,large,
26,24,Rachel Bilson,a latte,small,
27,25,Jeffrey Donovan,a breakfast tea,medium,a chocolate caramel shortbread
28,26,Jessica Capshaw,an Earl Grey,small,a croissant
29,27,Robert Pattinson,an espresso con panna,medium,
30,28,Jonny Lee Miller,a latte,large,a pain au chocolat
31,29,Miles Teller,a mocha,small,a veggie tortilla wrap
32,30,Aaron Paul,a caramel macchiato,large,a gingerbread cookie
33,2,Ryan Gosling,a salted caramel hot chocolate,large,
34,31,Norman Reedus,a peppermint hot chocolate,small,a blueberry muffin
35,32,Ellen Pompeo,a salted caramel hot chocolate,large,a croissant
36,33,America Ferrera,an iced hot chocolate,large,
37,20,Joel McHale,an Earl Grey,medium,
38,34,Cote de Pablo,a mocha,medium,a carrot cake
39,4,Leonardo DiCaprio,a green tea,large,a doughnut
40,4,Leonardo DiCaprio,a cappuccino,medium,a blueberry oatmeal
41,35,Kevin Costner,a hot chocolate,medium,
42,35,Kevin Costner,a hot chocolate,medium,
43,36,Sarah Wayne Callies,a green tea,large,
44,37,Joshua Jackson,a flat white,medium,
45,38,Ed Westwick,a salted caramel hot chocolate,large,a croissant
