IN,CusID,CusName,Drink,Size,Extra
1,101,Marion Cotillard,an iced cordusio,grande,a vegan wrap
2,102,Michael Fassbender,a peach iced tea,grande,
3,103,Ted Danson,a strawberry lemonade,tall,
4,104,Amy Brenneman,an iced caramel macchiato,grande,
5,105,Steve Carell,an iced pumpkin spice latte,grande,a salted caramel brownie
6,106,Michael Vartan,an iced latte macchiato,short,a lemon cheesecake
7,107,Ansel Elgort,a strawberry lemonade,tall,
8,108,Anna Kendrick,an iced coffee mocha,grande,a cheese toastie
9,109,Maisie Williams,a salted caramel mocha,short,
10,110,Scarlett Johansson,an iced cordusio,tall,a salted caramel brownie
11,111,Deborah Ann Woll,an iced salted caramel mocha,grande,a yogurt parfait
12,112,Christian Kane,a soy latte,grande,a yogurt parfait
13,113,Jenna Coleman,a raspberry lemonade,short,a tomato and mozzarella panini
14,101,Marion Cotillard,a raspberry lemonade,grande,a lemon cheesecake
15,114,Travis Fimmel,a pumpkin spice latte,grande,a vegan wrap
16,115,Marg Helgenberger,an iced cinnamon dolce latte,short,
17,116,Paul Rudd,an iced pumpkin spice latte,tall,
18,117,Fred Armisen,an iced caramel macchiato,grande,a PBJ sandwich
19,118,Terrence Howard,an iced coffee mocha,tall,a PBJ sandwich
20,115,Marg Helgenberger,an iced cinnamon dolce latte,short,
21,119,Kyra Sedgwick,an iced coffee mocha,short,
22,120,Seth Rogen,an iced cinnamon dolce latte,grande,
23,121,Eddie McClintock,an iced cinnamon dolce latte,short,a tomato and mozzarella panini
24,122,Josh Hutcherson,an iced pumpkin spice latte,tall,a cheese toastie
25,123,Sean Murray,an iced latte macchiato,short,a white chocolate cheesecake
26,112,Christian Kane,a soy latte,grande,a yogurt parfait
27,124,Laurie Holden,a salted caramel mocha,tall,a raspberry cheesecake
28,125,Chandra Wilson,an iced salted caramel mocha,tall,a chocolate brownie
29,126,Jason Segel,a cinnamon latte,grande,a chicken and pesto panini
30,127,Busy Philipps,an orange juice,tall,a lemon cheesecake
31,128,Chace Crawford,an iced pumpkin spice latte,short,
32,129,Megan Fox,an iced coffee mocha,grande,a fruit mix
33,130,Daniel Radcliffe,an iced cinnamon dolce latte,grande,
34,131,Mark Feuerstein,an iced coffee americano,short,
35,108,Anna Kendrick,an iced pumpkin spice chai latte,short,
36,106,Michael Vartan,a chai tea latte,short,
37,114,Travis Fimmel,a pumpkin spice latte,grande,a vegan wrap
38,132,Kristen Bell,a pumpkin spice latte,short,a white chocolate cheesecake
39,120,Seth Rogen,an iced cinnamon dolce latte,grande,
40,129,Megan Fox,an iced coffee mocha,grande,a fruit mix
41,133,Mads Mikkelsen,an iced coffee americano,short,
42,134,Charlotte Rae,a bottle of water,grande,a PBJ sandwich
43,135,Grant Gustin,an orange juice,tall,a salted caramel brownie
44,136,Jessica Biel,a salted caramel mocha,grande,
45,137,Tina Fey,an iced pumpkin spice chai latte,short,a milk chocolate bar
46,138,Carey Mulligan,a strawberry lemonade,short,a milk chocolate bar
47,139,Suzanne Somers,an iced coffee mocha,short,
48,136,Jessica Biel,a salted caramel mocha,grande,
49,140,Lily James,an iced pumpkin spice chai latte,short,a yogurt parfait
50,141,Anna Gunn,an orange juice,short,
51,111,Deborah Ann Woll,an iced salted caramel mocha,grande,a yogurt parfait
52,115,Marg Helgenberger,a chai tea latte,grande,
53,142,Gina Bellman,an iced caramel macchiato,grande,a yogurt parfait
54,114,Travis Fimmel,a pumpkin spice latte,grande,a vegan wrap
55,143,Lindsay Lohan,an iced coffee americano,grande,
56,144,Ron Perlman,a bottle of water,short,an egg sandwich
57,122,Josh Hutcherson,a bottle of water,tall,
58,145,Chandler Riggs,a peach iced tea,short,
59,139,Suzanne Somers,a chai tea latte,tall,
60,146,Billy Campbell,an iced latte macchiato,short,
61,147,Shelley Hennig,a peach iced tea,short,
62,119,Kyra Sedgwick,an iced coffee mocha,short,
63,108,Anna Kendrick,an iced pumpkin spice chai latte,short,
64,148,James Roday,a soy latte,short,
65,149,Kat Graham,an iced cordusio,grande,a vegan wrap
66,123,Sean Murray,a peach iced tea,tall,
67,141,Anna Gunn,an orange juice,short,
68,150,Poppy Montgomery,an iced pumpkin spice latte,grande,a raspberry cheesecake
69,142,Gina Bellman,a lemonade,short,
70,151,Scott Caan,an iced caramel macchiato,short,
71,109,Maisie Williams,a pumpkin spice latte,short,a fruit mix
72,143,Lindsay Lohan,a raspberry lemonade,short,
73,152,Olga Kurylenko,a cinnamon latte,grande,a milk chocolate bar
74,117,Fred Armisen,an iced caramel macchiato,grande,a PBJ sandwich
75,153,Victor Garber,a chai tea latte,tall,
76,154,Melissa Rauch,a strawberry lemonade,tall,
77,106,Michael Vartan,a cinnamon latte,grande,a yogurt parfait
78,155,David Spade,a soy latte,grande,a chocolate brownie
79,151,Scott Caan,a pumpkin spice latte,grande,a chocolate brownie
80,156,Robert Downey Jr.,a raspberry lemonade,short,
81,157,Owen Wilson,a strawberry lemonade,short,a cheese toastie
82,158,Chris O'Donnell,an iced cordusio,short,
83,113,Jenna Coleman,an iced pumpkin spice latte,tall,a lemon cheesecake
84,154,Melissa Rauch,a strawberry lemonade,tall,
85,156,Robert Downey Jr.,a raspberry lemonade,short,
86,103,Ted Danson,a peach iced tea,grande,
87,159,Russell Brand,an orange juice,tall,a granola bar
88,126,Jason Segel,a cinnamon latte,grande,a chicken and pesto panini
89,160,Reese Witherspoon,an iced pumpkin spice chai latte,grande,
90,161,Emma Stone,a lemonade,tall,
91,119,Kyra Sedgwick,a raspberry lemonade,short,
92,162,Hayden Christensen,a salted caramel mocha,grande,a strawberry cheesecake
93,115,Marg Helgenberger,an iced cinnamon dolce latte,short,
94,138,Carey Mulligan,an iced coffee mocha,tall,a vegetable sandwich
95,140,Lily James,an iced cordusio,short,a cinnamon swirl
96,163,Eddie Redmayne,a chai tea latte,grande,a chicken and pesto panini
97,164,Josh Charles,an orange juice,tall,a white chocolate cheesecake
98,119,Kyra Sedgwick,a salted caramel mocha,tall,a vegetable sandwich
99,150,Poppy Montgomery,an iced pumpkin spice latte,grande,a raspberry cheesecake
100,110,Scarlett Johansson,an iced cordusio,tall,a salted caramel brownie
101,137,Tina Fey,an iced pumpkin spice chai latte,short,a milk chocolate bar
102,153,Victor Garber,a chai tea latte,tall,
103,127,Busy Philipps,an iced salted caramel mocha,tall,
104,165,Reginald VelJohnson,an iced pumpkin spice chai latte,grande,
105,144,Ron Perlman,a bottle of water,short,an egg sandwich
106,166,Simon Pegg,an orange juice,short,a vegetable sandwich
107,122,Josh Hutcherson,a bottle of water,tall,
108,128,Chace Crawford,an iced pumpkin spice latte,short,
109,139,Suzanne Somers,a chai tea latte,tall,
110,164,Josh Charles,an orange juice,tall,a white chocolate cheesecake
111,125,Chandra Wilson,an iced salted caramel mocha,tall,a chocolate brownie
112,167,Beth Behrs,an iced pumpkin spice latte,tall,
113,145,Chandler Riggs,a peach iced tea,short,
114,128,Chace Crawford,a lemonade,tall,a salted caramel brownie
115,132,Kristen Bell,a pumpkin spice latte,short,a white chocolate cheesecake
116,136,Jessica Biel,a pumpkin spice latte,grande,a chocolate brownie
117,162,Hayden Christensen,an iced cinnamon dolce latte,tall,a chocolate brownie
118,152,Olga Kurylenko,a cinnamon latte,grande,a milk chocolate bar
119,168,Matt Damon,a chai tea latte,tall,a whole-grain feta sandwich
120,115,Marg Helgenberger,a strawberry lemonade,short,
121,125,Chandra Wilson,an iced coffee mocha,short,a lemon cheesecake
122,159,Russell Brand,an orange juice,tall,a granola bar
123,169,Garrett Hedlund,a bottle of water,tall,
124,133,Mads Mikkelsen,an iced cordusio,tall,a yogurt parfait
125,157,Owen Wilson,a strawberry lemonade,short,a cheese toastie
126,170,Brooke Elliott,an iced latte macchiato,tall,
127,142,Gina Bellman,a lemonade,short,
128,118,Terrence Howard,a chai tea latte,short,
129,143,Lindsay Lohan,a raspberry lemonade,short,
130,131,Mark Feuerstein,a salted caramel mocha,short,
131,152,Olga Kurylenko,a strawberry lemonade,short,a strawberry cheesecake
132,150,Poppy Montgomery,a cinnamon latte,short,
