IN,CusID,CusName,Drink,Size,Extra
1,101,Travis Fimmel,a peach iced tea,grande,a PBJ sandwich
2,102,Robert Downey Jr.,an iced cinnamon dolce latte,grande,a dark chocolate bar
3,103,Bradley Cooper,an iced latte macchiato,short,
4,104,Emma Watson,a lemonade,short,
5,105,Simon Pegg,a peach iced tea,short,
6,106,Russell Brand,a pumpkin spice latte,grande,a fruit mix
7,101,Travis Fimmel,a peach iced tea,grande,a PBJ sandwich
8,107,Poppy Montgomery,a lemonade,tall,
9,108,Kat Graham,an iced caramel macchiato,tall,a chocolate brownie
10,107,Poppy Montgomery,a lemonade,tall,
11,109,James Roday,a lemonade,grande,a granola bar
12,110,Maisie Williams,a peach iced tea,grande,
13,111,Seth Rogen,an iced caramel macchiato,grande,a PBJ sandwich
14,112,Megan Fox,a chai tea latte,grande,a strawberry cheesecake
15,113,Ron Perlman,an iced cinnamon dolce latte,tall,a fruit mix
16,114,Fred Armisen,a strawberry lemonade,short,a vegetable sandwich
17,115,Chiwetel Ejiofor,an iced pumpkin spice latte,grande,
18,116,Kyra Sedgwick,a lemonade,grande,a granola bar
19,117,Chris Messina,an iced coffee americano,short,a milk chocolate bar
20,118,Michael Vartan,a pumpkin spice latte,grande,
21,119,Mark Feuerstein,a soy latte,tall,
22,120,Deborah Ann Woll,an iced cordusio,grande,a chicken and pesto panini
23,121,Hayden Christensen,an iced coffee americano,grande,
24,122,Charlotte Rae,a raspberry lemonade,grande,
25,123,Anna Kendrick,a pumpkin spice latte,short,
26,124,Josh Charles,a chai tea latte,grande,a raspberry cheesecake
27,125,Sophie Turner,an iced salted caramel mocha,tall,a chocolate brownie
28,108,Kat Graham,an iced caramel macchiato,tall,a chocolate brownie
29,126,Laurie Holden,an iced cinnamon dolce latte,grande,a raspberry cheesecake
30,127,Anna Gunn,an orange juice,grande,a chicken and pesto panini
31,128,Victor Garber,an iced coffee mocha,short,
32,129,Ashton Kutcher,a chai tea latte,short,a lemon cheesecake
33,130,Emma Stone,a bottle of water,short,a milk chocolate bar
34,124,Josh Charles,a chai tea latte,grande,a raspberry cheesecake
35,131,Ewan McGregor,an iced coffee mocha,tall,a tomato and mozzarella panini
36,103,Bradley Cooper,an iced salted caramel mocha,tall,a white chocolate cheesecake
37,132,Claire Danes,an iced cordusio,grande,a salted caramel brownie
38,115,Chiwetel Ejiofor,a strawberry lemonade,grande,
39,133,Scott Caan,an iced pumpkin spice latte,short,a white chocolate cheesecake
