1:Kristen Stewart-[['a hot chocolate', 'medium', ''], ['a hot chocolate', 'medium', ''], ['a hot chocolate', 'medium', '']]
2:Charlize Theron-[['an americano', 'small', ''], ['an americano', 'small', ''], ['an americano', 'small', '']]
3:Cate Blanchett-[['a peppermint hot chocolate', 'medium', 'a double chocolate muffin'], ['a mocha', 'large', 'a chocolate chip cookie'], ['a mocha', 'large', 'a chocolate chip cookie']]
4:Leighton Meester-[['a white hot chocolate', 'medium', ''], ['a white hot chocolate', 'medium', ''], ['a white hot chocolate', 'medium', '']]
5:Melissa Joan Hart-[['a white hot chocolate', 'large', 'a lemon pound cake'], ['a white hot chocolate', 'large', 'a lemon pound cake'], ['a white hot chocolate', 'large', 'a lemon pound cake']]
6:Mark Wahlberg-[['an iced hot chocolate', 'small', 'a pain aux raisins'], ['an espresso con panna', 'small', 'a plain bagel'], ['a caramel macchiato', 'medium', '']]
7:John Noble-[['a cordusio', 'small', 'a lemon pound cake'], ['a cordusio', 'small', 'a lemon pound cake'], ['a cordusio', 'small', 'a lemon pound cake']]
8:Angelina Jolie-[['a black tea', 'large', ''], ['a black tea', 'large', ''], ['a noisette', 'medium', 'a pain aux raisins']]
9:Ashley Benson-[['a green tea', 'medium', 'a breakfast tortilla wrap'], ['a green tea', 'medium', 'a breakfast tortilla wrap'], ['a green tea', 'medium', 'a breakfast tortilla wrap']]
10:Emily Deschanel-[['an espresso macchiato', 'medium', ''], ['a noisette', 'medium', ''], ['an americano', 'large', '']]
11:Jensen Ackles-[['a breakfast tea', 'medium', 'a gingerbread cookie'], ['a white hot chocolate', 'large', 'a plain bagel'], ['a noisette', 'large', '']]
12:Taylor Schilling-[['an Earl Grey', 'large', 'a lemon pound cake'], ['a green tea', 'small', 'a croissant'], ['a green tea', 'small', 'a croissant']]
13:Robin Tunney-[['a green tea', 'small', 'a blueberry oatmeal'], ['a green tea', 'small', 'a blueberry oatmeal'], ['a green tea', 'small', 'a blueberry oatmeal']]
14:Cote de Pablo-[['a cappuccino', 'large', 'a croissant'], ['a cordusio', 'medium', 'a slice of banana bread'], ['an iced hot chocolate', 'small', 'a breakfast tortilla wrap']]
15:Channing Tatum-[['a noisette', 'medium', 'a classic oatmeal'], ['a black tea', 'medium', ''], ['a black tea', 'medium', '']]
16:Roseanne Barr-[['an espresso macchiato', 'small', ''], ['an espresso macchiato', 'small', ''], ['a flat white', 'large', 'a breakfast tortilla wrap']]
17:Matthew Rhys-[['a caramel macchiato', 'medium', ''], ['a peppermint hot chocolate', 'small', 'a croissant'], ['a peppermint hot chocolate', 'small', 'a croissant']]
18:America Ferrera-[['a cappuccino', 'small', 'an everything bagel'], ['a cappuccino', 'small', 'an everything bagel'], ['a mocha', 'medium', 'a veggie tortilla wrap']]
19:Simon Baker-[['a black tea', 'large', ''], ['a black tea', 'large', ''], ['a salted caramel hot chocolate', 'large', '']]
20:Joel McHale-[['a green tea', 'large', ''], ['a green tea', 'large', ''], ['a green tea', 'large', '']]
21:Brad Pitt-[['a caramel macchiato', 'small', ''], ['a caramel macchiato', 'small', ''], ['a caramel macchiato', 'small', '']]
22:Hugh Laurie-[['a black tea', 'medium', ''], ['a green tea', 'medium', 'a veggie tortilla wrap'], ['a green tea', 'medium', 'a veggie tortilla wrap']]
23:Matthew McConaughey-[['a breakfast tea', 'small', 'a chocolate chip cookie'], ['a breakfast tea', 'small', 'a chocolate chip cookie'], ['a breakfast tea', 'small', 'a chocolate chip cookie']]
24:Michael Emerson-[['a cordusio', 'large', 'a double chocolate muffin'], ['a cordusio', 'large', 'a double chocolate muffin'], ['a cordusio', 'large', 'a double chocolate muffin']]
25:Lena Dunham-[['a black tea', 'small', ''], ['a black tea', 'small', ''], ['a black tea', 'small', '']]
26:Ginnifer Goodwin-[['a breakfast tea', 'small', 'a chocolate chip cookie'], ['a mocha', 'large', 'a chocolate chip muffin'], ['an espresso', 'small', '']]
27:Aaron Paul-[['a peppermint hot chocolate', 'medium', ''], ['a peppermint hot chocolate', 'medium', ''], ['a peppermint hot chocolate', 'medium', '']]
28:Laura Linney-[['an iced hot chocolate', 'small', ''], ['an iced hot chocolate', 'small', ''], ['an iced hot chocolate', 'small', '']]
29:Ellen Pompeo-[['a cappuccino', 'medium', 'a chocolate caramel shortbread'], ['a cappuccino', 'medium', 'a chocolate caramel shortbread'], ['a cappuccino', 'medium', 'a chocolate caramel shortbread']]
30:Alison Brie-[['a salted caramel hot chocolate', 'medium', ''], ['an espresso', 'medium', 'a lemon pound cake'], ['a hot chocolate', 'small', 'a veggie tortilla wrap']]
31:Jesse Tyler Ferguson-[['a latte', 'small', ''], ['a latte', 'small', ''], ['a peppermint hot chocolate', 'large', 'a veggie tortilla wrap']]
32:Kaley Cuoco-[['a salted caramel hot chocolate', 'medium', 'a blueberry muffin'], ['a salted caramel hot chocolate', 'medium', 'a blueberry muffin'], ['a cappuccino', 'large', '']]
33:Ty Burrell-[['a salted caramel hot chocolate', 'large', 'a pain aux raisins'], ['a hot chocolate', 'large', ''], ['a hot chocolate', 'large', '']]
34:Lea Michele-[['an espresso macchiato', 'medium', ''], ['an espresso macchiato', 'medium', ''], ['an espresso macchiato', 'medium', '']]
35:Zoe Saldana-[['an espresso macchiato', 'large', 'a blueberry muffin'], ['an espresso macchiato', 'large', 'a blueberry muffin'], ['an espresso macchiato', 'large', 'a blueberry muffin']]
36:Joel Kinnaman-[['an americano', 'small', 'a blueberry oatmeal'], ['an americano', 'small', 'a blueberry oatmeal'], ['an americano', 'small', 'a blueberry oatmeal']]
37:David Schwimmer-[['an iced hot chocolate', 'large', ''], ['a cappuccino', 'medium', 'a carrot cake'], ['an Earl Grey', 'large', 'a doughnut']]
38:AnnaLynne McCord-[['a caramel macchiato', 'medium', ''], ['a caramel macchiato', 'medium', ''], ['a caramel macchiato', 'medium', '']]
39:Noah Wyle-[['a hot chocolate', 'small', 'a pain aux raisins'], ['a hot chocolate', 'small', 'a pain aux raisins'], ['a hot chocolate', 'small', 'a pain aux raisins']]
40:Mireille Enos-[['a caramel macchiato', 'large', ''], ['a caramel macchiato', 'large', ''], ['a caramel macchiato', 'large', '']]
41:Ariana Grande-[['a hot chocolate', 'medium', ''], ['a caramel macchiato', 'medium', ''], ['a caramel macchiato', 'medium', '']]
42:Josh Radnor-[['an Earl Grey', 'small', 'a slice of banana bread'], ['an Earl Grey', 'small', 'a slice of banana bread'], ['a flat white', 'large', 'a classic oatmeal']]
43:Jonny Lee Miller-[['a green tea', 'small', 'a double chocolate muffin'], ['a peppermint hot chocolate', 'small', ''], ['a latte', 'small', '']]
44:Ryan Gosling-[['a flat white', 'large', ''], ['a caramel macchiato', 'large', ''], ['a caramel macchiato', 'large', '']]
45:Mark Harmon-[['an espresso con panna', 'small', 'an almond croissant'], ['an espresso con panna', 'small', 'an almond croissant'], ['an espresso con panna', 'small', 'an almond croissant']]
46:Timothy Olyphant-[['an americano', 'large', ''], ['an americano', 'large', ''], ['a peppermint hot chocolate', 'large', 'a classic oatmeal']]
47:Sarah Michelle Gellar-[['an iced hot chocolate', 'medium', ''], ['an iced hot chocolate', 'medium', ''], ['an iced hot chocolate', 'medium', '']]
