IN,CusID,CusName,Drink,Size,Extra
1,101,Chris Messina,an iced coffee americano,tall,
2,102,Josh Charles,a salted caramel mocha,grande,a fruit mix
3,103,Owen Wilson,an iced pumpkin spice latte,grande,
4,102,Josh Charles,a salted caramel mocha,grande,a fruit mix
5,104,Melissa Rauch,an iced pumpkin spice chai latte,tall,
6,105,Hayden Christensen,an iced caramel macchiato,grande,an egg sandwich
7,106,Gina Bellman,a strawberry lemonade,grande,
8,107,Todd Bridges,an iced cordusio,grande,
9,108,Reese Witherspoon,an iced coffee americano,tall,
10,109,Mark Feuerstein,a bottle of water,tall,
11,109,Mark Feuerstein,a bottle of water,tall,
12,110,Scarlett Johansson,an iced cordusio,short,an egg sandwich
13,111,Scott Caan,a soy latte,tall,a chocolate brownie
14,112,Bradley Cooper,an iced cordusio,short,
15,113,Nicole Kidman,an iced cinnamon dolce latte,tall,a milk chocolate bar
16,101,Chris Messina,an iced coffee americano,tall,
17,114,Ansel Elgort,an iced coffee americano,short,
18,115,Megan Fox,an iced coffee mocha,tall,
19,116,Eric Dane,a raspberry lemonade,tall,a cheese toastie
20,117,Missy Peregrym,a bottle of water,short,
21,118,Deborah Ann Woll,a bottle of water,tall,
22,119,Leslie Mann,a strawberry lemonade,short,a lemon cheesecake
23,104,Melissa Rauch,an iced caramel macchiato,short,
24,120,Paul Rudd,a pumpkin spice latte,short,a raspberry cheesecake
25,121,Chris O'Donnell,a strawberry lemonade,grande,
26,117,Missy Peregrym,a bottle of water,short,
27,122,Kathy Bates,an iced cinnamon dolce latte,grande,a chicken and pesto panini
28,123,Lindsay Lohan,an iced salted caramel mocha,tall,
29,106,Gina Bellman,a strawberry lemonade,grande,
30,124,Daniel Radcliffe,an iced cordusio,tall,
31,125,Russell Brand,an iced pumpkin spice latte,short,
32,126,Eddie McClintock,a pumpkin spice latte,grande,
33,127,Lisa Whelchel,a raspberry lemonade,grande,
34,128,Olga Kurylenko,a raspberry lemonade,tall,a granola bar
35,129,Matt Damon,an iced cinnamon dolce latte,tall,
36,130,Simon Pegg,a chai tea latte,short,
37,105,Hayden Christensen,an iced caramel macchiato,grande,an egg sandwich
38,119,Leslie Mann,a strawberry lemonade,short,a lemon cheesecake
39,131,Sophie Turner,a cinnamon latte,tall,a white chocolate cheesecake
40,111,Scott Caan,a soy latte,tall,a chocolate brownie
41,132,Amy Brenneman,a chai tea latte,grande,a tomato and mozzarella panini
42,123,Lindsay Lohan,an iced salted caramel mocha,tall,
43,115,Megan Fox,an iced coffee mocha,tall,
44,133,Jason Bateman,an iced coffee americano,grande,
45,134,Michael Fassbender,a bottle of water,grande,a white chocolate cheesecake
46,135,Chandler Riggs,an iced coffee americano,grande,an egg sandwich
47,131,Sophie Turner,an iced coffee mocha,tall,
48,136,Poppy Montgomery,a bottle of water,short,a vegan wrap
49,137,Steve Carell,an iced caramel macchiato,grande,
50,138,Cory Monteith,a strawberry lemonade,tall,
51,139,Anna Gunn,a strawberry lemonade,tall,
52,133,Jason Bateman,an iced coffee americano,grande,
53,140,Candice King,a salted caramel mocha,tall,
54,141,James Roday,a peach iced tea,tall,a tomato and mozzarella panini
55,142,Travis Fimmel,an orange juice,tall,an egg sandwich
56,107,Todd Bridges,an iced cordusio,grande,
57,143,Fred Armisen,a raspberry lemonade,grande,a chocolate brownie
58,144,Alexander Skarsgard,an iced pumpkin spice chai latte,tall,
59,137,Steve Carell,a bottle of water,short,
60,145,Tina Fey,an iced cinnamon dolce latte,grande,a PBJ sandwich
61,146,Charlotte Rae,an iced latte macchiato,grande,
62,147,Garrett Hedlund,an iced latte macchiato,grande,
63,148,Lily James,a salted caramel mocha,short,
64,149,Jesse Williams,a peach iced tea,grande,
65,150,Anna Kendrick,an orange juice,tall,
66,151,Laurie Holden,a cinnamon latte,short,a raspberry cheesecake
67,152,Jason Segel,an orange juice,tall,a cinnamon swirl
68,153,Shelley Hennig,an iced coffee americano,short,
69,154,Christian Kane,an iced salted caramel mocha,grande,
