IN,CusID,CusName,Drink,Size,Extra
1,1,Kristen Stewart,a hot chocolate,medium,
2,2,Charlize Theron,an americano,small,
3,3,Cate Blanchett,a peppermint hot chocolate,medium,a double chocolate muffin
4,4,Leighton Meester,a white hot chocolate,medium,
5,5,Melissa Joan Hart,a white hot chocolate,large,a lemon pound cake
6,6,Mark Wahlberg,an iced hot chocolate,small,a pain aux raisins
7,7,John Noble,a cordusio,small,a lemon pound cake
8,8,Angelina Jolie,a black tea,large,
9,9,Ashley Benson,a green tea,medium,a breakfast tortilla wrap
10,10,Emily Deschanel,an espresso macchiato,medium,
11,11,Jensen Ackles,a breakfast tea,medium,a gingerbread cookie
12,12,Taylor Schilling,an Earl Grey,large,a lemon pound cake
13,13,Robin Tunney,a green tea,small,a blueberry oatmeal
14,14,Cote de Pablo,a cappuccino,large,a croissant
15,15,Channing Tatum,a noisette,medium,a classic oatmeal
16,16,Roseanne Barr,an espresso macchiato,small,
17,17,Matthew Rhys,a caramel macchiato,medium,
18,18,America Ferrera,a cappuccino,small,an everything bagel
19,10,Emily Deschanel,a noisette,medium,
20,19,Simon Baker,a black tea,large,
21,20,Joel McHale,a green tea,large,
22,21,Brad Pitt,a caramel macchiato,small,
23,22,Hugh Laurie,a black tea,medium,
24,21,Brad Pitt,a caramel macchiato,small,
25,23,Matthew McConaughey,a breakfast tea,small,a chocolate chip cookie
26,24,Michael Emerson,a cordusio,large,a double chocolate muffin
27,20,Joel McHale,a green tea,large,
28,25,Lena Dunham,a black tea,small,
29,26,Ginnifer Goodwin,a breakfast tea,small,a chocolate chip cookie
30,27,Aaron Paul,a peppermint hot chocolate,medium,
31,28,Laura Linney,an iced hot chocolate,small,
32,29,Ellen Pompeo,a cappuccino,medium,a chocolate caramel shortbread
33,11,Jensen Ackles,a white hot chocolate,large,a plain bagel
34,30,Alison Brie,a salted caramel hot chocolate,medium,
35,31,Jesse Tyler Ferguson,a latte,small,
36,32,Kaley Cuoco,a salted caramel hot chocolate,medium,a blueberry muffin
37,33,Ty Burrell,a salted caramel hot chocolate,large,a pain aux raisins
38,34,Lea Michele,an espresso macchiato,medium,
39,35,Zoe Saldana,an espresso macchiato,large,a blueberry muffin
40,16,Roseanne Barr,an espresso macchiato,small,
41,26,Ginnifer Goodwin,a mocha,large,a chocolate chip muffin
42,36,Joel Kinnaman,an americano,small,a blueberry oatmeal
43,14,Cote de Pablo,a cordusio,medium,a slice of banana bread
44,27,Aaron Paul,a peppermint hot chocolate,medium,
45,37,David Schwimmer,an iced hot chocolate,large,
46,38,AnnaLynne McCord,a caramel macchiato,medium,
47,39,Noah Wyle,a hot chocolate,small,a pain aux raisins
48,40,Mireille Enos,a caramel macchiato,large,
49,36,Joel Kinnaman,an americano,small,a blueberry oatmeal
