IN,CusID,CusName,Drink,Size,Extra
1,101,Travis Fimmel,a salted caramel mocha,short,
2,102,Victor Garber,a raspberry lemonade,grande,a vegetable sandwich
3,103,Lindsay Lohan,an iced caramel macchiato,grande,a milk chocolate bar
4,104,Paul Rudd,a chai tea latte,tall,
5,105,Ashton Kutcher,a peach iced tea,short,
6,106,Ansel Elgort,a raspberry lemonade,tall,a raspberry cheesecake
7,107,Kristen Bell,a soy latte,grande,a chocolate brownie
8,108,Christian Kane,a peach iced tea,grande,
9,109,Ron Perlman,a chai tea latte,tall,a white chocolate cheesecake
10,110,Ted Danson,a lemonade,short,a white chocolate cheesecake
11,111,Alexander Skarsgard,an iced latte macchiato,short,a granola bar
12,112,Simon Pegg,an iced caramel macchiato,short,a cheese toastie
13,113,Russell Brand,a peach iced tea,tall,a granola bar
14,114,Owen Wilson,a strawberry lemonade,short,a yogurt parfait
15,115,Charlotte Rae,a lemonade,grande,
16,116,Michael Vartan,a cinnamon latte,tall,a milk chocolate bar
17,117,Kathy Bates,an iced pumpkin spice chai latte,short,
18,118,Claire Danes,an iced cordusio,short,a vegetable sandwich
19,102,Victor Garber,an orange juice,tall,an egg sandwich
20,119,Missy Peregrym,an iced pumpkin spice latte,tall,a salted caramel brownie
21,120,Emma Watson,an orange juice,short,
22,121,John Cusack,a soy latte,grande,
23,122,Olga Kurylenko,an iced cinnamon dolce latte,short,
24,123,Jason Sudeikis,an iced coffee mocha,tall,an egg sandwich
25,102,Victor Garber,a bottle of water,grande,a vegetable sandwich
26,124,Hayden Christensen,a pumpkin spice latte,short,a chicken and pesto panini
27,125,Jason Segel,a pumpkin spice latte,grande,
28,126,Beth Behrs,a lemonade,tall,
29,127,Sean Murray,an iced coffee mocha,grande,a chocolate brownie
30,128,Tina Fey,a strawberry lemonade,grande,
31,109,Ron Perlman,a chai tea latte,tall,a white chocolate cheesecake
32,129,Eric Dane,a salted caramel mocha,short,
33,130,Brooke Elliott,an iced salted caramel mocha,tall,
34,131,Terrence Howard,an iced latte macchiato,grande,
35,130,Brooke Elliott,an iced coffee mocha,short,
36,132,Marg Helgenberger,an iced coffee americano,short,an egg sandwich
37,126,Beth Behrs,a lemonade,tall,
38,133,Anna Kendrick,a soy latte,grande,
39,131,Terrence Howard,a pumpkin spice latte,grande,a vegetable sandwich
40,134,Steve Carell,a peach iced tea,grande,
41,135,Eddie Redmayne,an iced coffee mocha,short,a fruit mix
42,136,Marion Cotillard,an iced caramel macchiato,short,a strawberry cheesecake
43,116,Michael Vartan,a cinnamon latte,tall,a milk chocolate bar
44,137,Emma Thompson,a bottle of water,grande,an egg sandwich
45,138,James Roday,a lemonade,grande,
46,139,Garrett Hedlund,an iced salted caramel mocha,short,
47,140,Matt Damon,an iced coffee americano,tall,a PBJ sandwich
48,141,Chandler Riggs,a pumpkin spice latte,grande,
49,135,Eddie Redmayne,an iced cinnamon dolce latte,tall,a cheese toastie
50,131,Terrence Howard,a pumpkin spice latte,grande,a vegetable sandwich
51,142,Maisie Williams,a raspberry lemonade,short,a chocolate brownie
52,109,Ron Perlman,a salted caramel mocha,tall,a raspberry cheesecake
53,143,Reginald VelJohnson,an iced latte macchiato,tall,
54,144,Chris Messina,a strawberry lemonade,grande,
55,108,Christian Kane,a peach iced tea,grande,
56,145,Lyndsy Fonseca,a strawberry lemonade,grande,a granola bar
57,146,Melissa Rauch,a soy latte,grande,a raspberry cheesecake
58,147,Emma Stone,a cinnamon latte,tall,a chocolate brownie
59,148,Poppy Montgomery,an orange juice,short,
60,123,Jason Sudeikis,a bottle of water,tall,
61,126,Beth Behrs,an iced coffee americano,tall,a vegan wrap
62,149,Mads Mikkelsen,an iced coffee americano,tall,a strawberry cheesecake
63,101,Travis Fimmel,a salted caramel mocha,short,
64,101,Travis Fimmel,a salted caramel mocha,short,
65,101,Travis Fimmel,a salted caramel mocha,short,
66,150,Josh Hutcherson,an iced caramel macchiato,tall,
67,151,Kyra Sedgwick,an iced cinnamon dolce latte,grande,
68,152,Mark Feuerstein,a pumpkin spice latte,short,a vegan wrap
69,138,James Roday,a lemonade,grande,
70,153,Kat Graham,a lemonade,tall,
71,154,Carey Mulligan,an iced pumpkin spice chai latte,tall,
72,112,Simon Pegg,an iced cinnamon dolce latte,short,
73,155,Megan Fox,an iced cinnamon dolce latte,tall,
74,102,Victor Garber,a bottle of water,grande,a vegetable sandwich
75,156,Patricia Arquette,an iced coffee americano,tall,
76,157,Billy Campbell,a peach iced tea,short,a milk chocolate bar
77,111,Alexander Skarsgard,an iced latte macchiato,short,a granola bar
78,154,Carey Mulligan,an iced pumpkin spice chai latte,tall,
79,111,Alexander Skarsgard,a peach iced tea,short,a salted caramel brownie
80,117,Kathy Bates,an iced caramel macchiato,grande,
81,117,Kathy Bates,an iced caramel macchiato,grande,
82,101,Travis Fimmel,a salted caramel mocha,short,
83,146,Melissa Rauch,a soy latte,grande,a raspberry cheesecake
84,119,Missy Peregrym,an iced pumpkin spice latte,tall,a salted caramel brownie
85,158,Eddie McClintock,an orange juice,grande,a dark chocolate bar
86,137,Emma Thompson,a bottle of water,grande,an egg sandwich
87,159,Chiwetel Ejiofor,an iced pumpkin spice latte,tall,a milk chocolate bar
88,160,Amy Brenneman,an iced pumpkin spice latte,short,a white chocolate cheesecake
89,122,Olga Kurylenko,an iced cinnamon dolce latte,short,
90,161,Chris O'Donnell,a lemonade,grande,
91,110,Ted Danson,a strawberry lemonade,grande,
92,121,John Cusack,a soy latte,grande,
93,158,Eddie McClintock,an orange juice,grande,a dark chocolate bar
94,156,Patricia Arquette,an iced coffee americano,tall,
95,111,Alexander Skarsgard,an iced latte macchiato,short,a granola bar
96,162,Deborah Ann Woll,an iced cinnamon dolce latte,short,a chicken and pesto panini
97,134,Steve Carell,a peach iced tea,grande,
98,137,Emma Thompson,a soy latte,grande,
99,111,Alexander Skarsgard,an iced latte macchiato,short,a granola bar
100,163,David Spade,a strawberry lemonade,grande,a white chocolate cheesecake
101,124,Hayden Christensen,a pumpkin spice latte,short,a chicken and pesto panini
102,137,Emma Thompson,a bottle of water,grande,an egg sandwich
103,105,Ashton Kutcher,a peach iced tea,short,
104,158,Eddie McClintock,an orange juice,grande,a dark chocolate bar
105,146,Melissa Rauch,a soy latte,grande,a raspberry cheesecake
106,164,Jesse Williams,an iced salted caramel mocha,tall,
107,165,Scott Caan,an iced coffee americano,tall,
108,111,Alexander Skarsgard,an iced latte macchiato,short,a granola bar
109,136,Marion Cotillard,an iced caramel macchiato,short,a strawberry cheesecake
110,166,Shelley Hennig,an iced coffee americano,grande,a cinnamon swirl
111,158,Eddie McClintock,an iced coffee americano,tall,
112,167,Gina Bellman,an iced cinnamon dolce latte,grande,a lemon cheesecake
113,149,Mads Mikkelsen,an iced coffee americano,tall,a strawberry cheesecake
114,168,Suzanne Somers,an iced pumpkin spice latte,grande,a chicken and pesto panini
115,102,Victor Garber,a bottle of water,grande,a vegetable sandwich
116,169,Chandra Wilson,an iced pumpkin spice chai latte,tall,
117,149,Mads Mikkelsen,a salted caramel mocha,tall,
118,121,John Cusack,a soy latte,grande,
119,144,Chris Messina,a soy latte,tall,
120,108,Christian Kane,a peach iced tea,grande,
121,134,Steve Carell,a peach iced tea,grande,
122,138,James Roday,a lemonade,grande,
123,170,Fred Armisen,an iced cinnamon dolce latte,short,
124,141,Chandler Riggs,a soy latte,short,
125,121,John Cusack,an iced pumpkin spice chai latte,grande,
126,115,Charlotte Rae,a pumpkin spice latte,tall,a tomato and mozzarella panini
127,159,Chiwetel Ejiofor,an iced pumpkin spice latte,tall,a milk chocolate bar
128,105,Ashton Kutcher,an iced pumpkin spice latte,tall,
129,171,Seth Rogen,an iced latte macchiato,grande,a milk chocolate bar
130,172,Kit Harington,an iced caramel macchiato,short,
131,173,Ewan McGregor,an iced pumpkin spice chai latte,grande,a strawberry cheesecake
132,157,Billy Campbell,a peach iced tea,short,a milk chocolate bar
133,126,Beth Behrs,a lemonade,tall,
134,154,Carey Mulligan,an iced pumpkin spice chai latte,tall,
135,145,Lyndsy Fonseca,a strawberry lemonade,grande,a granola bar
136,158,Eddie McClintock,a raspberry lemonade,grande,
137,150,Josh Hutcherson,an iced caramel macchiato,tall,
138,174,Grant Gustin,an iced caramel macchiato,grande,
139,103,Lindsay Lohan,an iced caramel macchiato,grande,a milk chocolate bar
140,122,Olga Kurylenko,an iced cinnamon dolce latte,short,
141,143,Reginald VelJohnson,an iced latte macchiato,tall,
142,153,Kat Graham,a lemonade,tall,
143,119,Missy Peregrym,an iced pumpkin spice latte,tall,a salted caramel brownie
144,175,Rupert Grint,an iced salted caramel mocha,short,a vegan wrap
145,176,Scarlett Johansson,a bottle of water,grande,a salted caramel brownie
146,177,Kristen Wiig,an iced cordusio,short,a vegan wrap
147,178,Josh Charles,a strawberry lemonade,grande,a lemon cheesecake
148,104,Paul Rudd,a chai tea latte,tall,
149,156,Patricia Arquette,an iced cordusio,short,
150,149,Mads Mikkelsen,an iced coffee americano,tall,a strawberry cheesecake
151,150,Josh Hutcherson,an iced caramel macchiato,tall,
152,121,John Cusack,an iced salted caramel mocha,short,a vegan wrap
153,109,Ron Perlman,a chai tea latte,tall,a white chocolate cheesecake
154,144,Chris Messina,a soy latte,tall,
155,160,Amy Brenneman,an iced pumpkin spice latte,short,a white chocolate cheesecake
156,139,Garrett Hedlund,an iced salted caramel mocha,short,
157,168,Suzanne Somers,an iced pumpkin spice latte,grande,a chicken and pesto panini
158,179,Candice King,a bottle of water,grande,
159,149,Mads Mikkelsen,an iced coffee americano,tall,a strawberry cheesecake
160,109,Ron Perlman,a chai tea latte,tall,a white chocolate cheesecake
161,133,Anna Kendrick,a soy latte,grande,
162,120,Emma Watson,an orange juice,short,
163,133,Anna Kendrick,a soy latte,grande,
164,136,Marion Cotillard,a peach iced tea,tall,
165,148,Poppy Montgomery,an orange juice,short,
166,109,Ron Perlman,a chai tea latte,tall,a white chocolate cheesecake
167,150,Josh Hutcherson,a soy latte,tall,a cheese toastie
168,150,Josh Hutcherson,an iced caramel macchiato,tall,
169,174,Grant Gustin,an iced caramel macchiato,grande,
170,118,Claire Danes,an iced cordusio,short,a vegetable sandwich
171,132,Marg Helgenberger,a lemonade,tall,
172,172,Kit Harington,an iced cinnamon dolce latte,grande,an egg sandwich
173,103,Lindsay Lohan,a pumpkin spice latte,short,
174,146,Melissa Rauch,an iced salted caramel mocha,short,a chocolate brownie
175,180,Bradley Cooper,a salted caramel mocha,tall,
176,165,Scott Caan,an iced coffee americano,tall,
177,101,Travis Fimmel,a soy latte,short,a dark chocolate bar
178,179,Candice King,a bottle of water,grande,
179,106,Ansel Elgort,an iced pumpkin spice latte,tall,
180,181,Chace Crawford,a bottle of water,short,
181,175,Rupert Grint,an iced salted caramel mocha,short,a vegan wrap
182,171,Seth Rogen,an iced latte macchiato,grande,a milk chocolate bar
183,179,Candice King,a bottle of water,grande,
184,182,Jason Bateman,an iced latte macchiato,grande,a lemon cheesecake
185,183,Reese Witherspoon,a peach iced tea,tall,a milk chocolate bar
