IN,CusID,CusName,Drink,Size,Extra
1,101,Emily Blunt,an americano,small,
2,94,Josh Radnor,a green tea,small,a plain bagel
3,102,Stephen Moyer,an espresso macchiato,large,an almond croissant
4,88,David Boreanaz,a latte,small,
5,103,Lana Parrilla,a cordusio,small,
6,104,Amy Poehler,a cordusio,medium,a pain aux raisins
7,4,Justin Chambers,a latte,medium,a chocolate caramel shortbread
8,33,Brad Pitt,a salted caramel hot chocolate,medium,a double chocolate muffin
9,105,Zachary Levi,a breakfast tea,small,an almond croissant
10,106,Tom Hiddleston,an iced hot chocolate,medium,a breakfast tortilla wrap
11,95,Felicity Huffman,an espresso con panna,medium,a carrot cake
12,1,Joel Kinnaman,a noisette,large,
13,42,Ellen Pompeo,a white hot chocolate,medium,a chocolate chip muffin
14,107,Colin O'Donoghue,an americano,small,
15,41,Ariana Grande,an espresso macchiato,small,a carrot cake
16,108,Megan Boone,a green tea,medium,
17,64,Zac Efron,a caramel macchiato,large,
18,109,Jessica Chastain,an iced hot chocolate,small,
19,110,Mary-Louise Parker,a latte,small,a breakfast tortilla wrap
20,111,Marcia Cross,a salted caramel hot chocolate,large,a breakfast tortilla wrap
21,112,Vera Farmiga,an espresso,small,
22,71,Kristen Stewart,a noisette,small,
23,113,Pauley Perrette,a latte,medium,a classic oatmeal
24,80,Matthew Rhys,an espresso,large,
25,30,Teri Hatcher,an iced hot chocolate,large,
26,68,Anna Torv,a cordusio,large,an everything bagel
27,114,Joseph Gordon-Levitt,a latte,small,
28,115,Jennette McCurdy,an espresso con panna,small,a veggie tortilla wrap
29,33,Brad Pitt,a salted caramel hot chocolate,medium,a double chocolate muffin
30,116,Cobie Smulders,a white hot chocolate,medium,
31,117,Jim Parsons,a hot chocolate,medium,
32,111,Marcia Cross,a salted caramel hot chocolate,large,a breakfast tortilla wrap
33,50,Matt Bomer,a flat white,small,a breakfast tortilla wrap
34,118,Alex O'Loughlin,a caramel macchiato,medium,
35,119,David Duchovny,a peppermint hot chocolate,large,
36,35,Jane Lynch,a black tea,large,an almond croissant
37,104,Amy Poehler,a cordusio,medium,a pain aux raisins
38,120,Michael Weatherly,an espresso macchiato,medium,a chocolate chip cookie
39,121,Blake Lively,a noisette,medium,
