IN,CusID,CusName,Drink,Size,Extra
1,96,Keri Russell,a black tea,large,
2,8,Julie Bowen,an espresso,medium,
3,42,Chris Colfer,a cappuccino,small,
4,101,Michael Weatherly,an espresso con panna,large,a chocolate chip cookie
5,102,Marcia Cross,a cordusio,medium,
6,103,Max Greenfield,an Earl Grey,medium,a chocolate chip cookie
7,48,Ariana Grande,a black tea,small,a carrot cake
8,104,Julianne Moore,a noisette,small,a pain au chocolat
9,105,Jake Gyllenhaal,a breakfast tea,medium,a veggie tortilla wrap
10,106,Ed O'Neill,a latte,medium,
11,50,Sarah Wayne Callies,an Earl Grey,large,a pain au chocolat
12,107,Lisa Kudrow,a latte,small,a classic oatmeal
13,7,Kerry Washington,a breakfast tea,medium,
14,46,Aaron Paul,a white hot chocolate,medium,a breakfast tortilla wrap
15,35,Sarah Michelle Gellar,a cordusio,large,a chocolate chip muffin
16,35,Sarah Michelle Gellar,a cordusio,large,a chocolate chip muffin
17,108,James Franco,a black tea,small,
18,109,Emily VanCamp,an americano,small,a doughnut
19,72,Charlie Hunnam,a cappuccino,large,
20,110,Lucy Liu,an americano,medium,a chocolate caramel shortbread
21,94,Miles Teller,a breakfast tea,large,a carrot cake
22,17,Matthew Rhys,a black tea,small,
23,111,Yvette Nicole Brown,a flat white,medium,a lemon pound cake
24,112,Paul Wesley,a hot chocolate,medium,
25,98,Jennifer Lawrence,a noisette,medium,a lemon pound cake
26,18,Jessica Capshaw,a cordusio,medium,a carrot cake
27,43,Matthew Morrison,an espresso macchiato,small,a plain bagel
28,113,Penn Badgley,an espresso con panna,large,a blueberry oatmeal
29,114,Chris Hemsworth,a breakfast tea,large,a chocolate caramel shortbread
30,14,Joel Kinnaman,a salted caramel hot chocolate,large,
31,115,Zachary Levi,a mocha,small,
32,116,Jon Cryer,a salted caramel hot chocolate,medium,
33,1,RuPaul,a mocha,large,
34,44,Leighton Meester,a hot chocolate,large,an everything bagel
35,117,January Jones,an espresso con panna,large,
36,23,Emily Deschanel,a cappuccino,small,
37,86,Joel McHale,a noisette,medium,
38,118,Pauley Perrette,an americano,medium,
39,23,Emily Deschanel,a cappuccino,small,
40,119,Kat Dennings,a black tea,large,a croissant
41,120,Heidi Klum,an espresso con panna,small,a plain bagel
42,121,Megan Boone,a white hot chocolate,small,
43,97,Mark Wahlberg,a hot chocolate,large,a chocolate caramel shortbread
44,36,Jane Lynch,a cordusio,small,a gingerbread cookie
45,122,Tom Welling,a latte,large,
46,104,Julianne Moore,a noisette,small,a pain au chocolat
47,123,Courteney Cox,a cordusio,small,
48,124,Jennifer Garner,a hot chocolate,small,a double chocolate muffin
49,125,Emilia Clarke,a salted caramel hot chocolate,medium,a double chocolate muffin
50,78,Ellen Pompeo,a cordusio,large,a breakfast tortilla wrap
51,61,Mireille Enos,a flat white,medium,
52,10,Anna Torv,a black tea,medium,
53,32,Jon Hamm,a white hot chocolate,large,a chocolate chip muffin
54,126,Gillian Jacobs,a cordusio,small,
55,127,Ming-Na Wen,a salted caramel hot chocolate,small,
56,94,Miles Teller,a breakfast tea,large,a carrot cake
57,123,Courteney Cox,a cordusio,small,
58,3,Alyson Hannigan,a black tea,small,a classic oatmeal
59,96,Keri Russell,a black tea,large,
60,77,Michael Emerson,a cappuccino,large,
61,105,Jake Gyllenhaal,a breakfast tea,medium,a veggie tortilla wrap
62,128,Sara Ramirez,an Earl Grey,large,
63,110,Lucy Liu,an americano,medium,a chocolate caramel shortbread
64,129,Lauren Cohan,a cordusio,medium,a classic oatmeal
65,119,Kat Dennings,a black tea,large,a croissant
66,130,Blake Lively,an espresso,large,a plain bagel
67,33,Kevin Bacon,a cordusio,medium,
68,131,Stana Katic,a flat white,medium,
69,126,Gillian Jacobs,a cordusio,small,
70,132,Jared Padalecki,a salted caramel hot chocolate,small,a chocolate caramel shortbread
71,125,Emilia Clarke,a salted caramel hot chocolate,medium,a double chocolate muffin
72,133,Eric Stonestreet,an espresso con panna,small,
73,86,Joel McHale,a noisette,medium,
74,12,Troian Bellisario,a peppermint hot chocolate,medium,a blueberry muffin
75,77,Michael Emerson,a cappuccino,large,
76,134,Tatiana Maslany,a caramel macchiato,medium,
77,116,Jon Cryer,a salted caramel hot chocolate,medium,
78,8,Julie Bowen,an espresso,medium,
