IN,CusID,CusName,Drink,Size,Extra
1,1,Kodi Smit-McPhee,a caramel macchiato,small,
2,2,Michael Emerson,a flat white,medium,
3,3,Angelina Jolie,a peppermint hot chocolate,small,a veggie tortilla wrap
4,4,Joel McHale,an espresso,large,
5,5,Damian Lewis,a caramel macchiato,medium,a gingerbread cookie
6,6,Ariana Grande,a cappuccino,small,
7,7,Melissa Joan Hart,a peppermint hot chocolate,small,a croissant
8,8,Melissa McBride,an espresso con panna,small,a croissant
9,9,James Spader,an Earl Grey,large,a doughnut
10,10,Joel Kinnaman,a breakfast tea,small,
11,11,Matt Bomer,a peppermint hot chocolate,large,a plain bagel
12,12,Charlize Theron,an espresso macchiato,medium,
13,13,AnnaLynne McCord,a green tea,large,a breakfast tortilla wrap
14,14,Jonny Lee Miller,a hot chocolate,large,an almond croissant
15,15,Jennifer Lawrence,a hot chocolate,large,a blueberry muffin
16,16,Laura Linney,a caramel macchiato,large,a double chocolate muffin
17,17,Alison Brie,a cappuccino,small,a lemon pound cake
18,18,Channing Tatum,a noisette,small,
19,11,Matt Bomer,a peppermint hot chocolate,large,a plain bagel
20,19,Hugh Laurie,an espresso con panna,medium,a blueberry muffin
21,20,John Noble,a latte,large,a slice of banana bread
22,21,Ty Burrell,a cordusio,medium,
23,22,Jesse Tyler Ferguson,an americano,small,a croissant
24,11,Matt Bomer,a peppermint hot chocolate,large,a plain bagel
25,23,Justin Chambers,a cordusio,small,
26,24,Will Smith,an espresso,large,a plain bagel
27,25,Robert Pattinson,a green tea,small,a slice of banana bread
28,26,Matt Smith,an espresso macchiato,medium,a croissant
29,12,Charlize Theron,an espresso macchiato,medium,
30,25,Robert Pattinson,a green tea,small,a slice of banana bread
31,25,Robert Pattinson,a green tea,small,a slice of banana bread
32,27,Kiefer Sutherland,a breakfast tea,large,
33,28,Kevin Bacon,a white hot chocolate,medium,
34,18,Channing Tatum,a noisette,small,
35,29,Stephen Amell,an Earl Grey,large,a croissant
36,30,David Boreanaz,an espresso,medium,a doughnut
37,31,Anna Torv,an espresso macchiato,medium,
38,2,Michael Emerson,an espresso macchiato,medium,
39,32,Sarah Wayne Callies,a flat white,large,a veggie tortilla wrap
40,33,Ryan Gosling,a peppermint hot chocolate,medium,a blueberry muffin
41,34,Anne Hathaway,an espresso macchiato,small,
42,35,Cate Blanchett,a caramel macchiato,large,
43,36,Sandra Oh,an iced hot chocolate,medium,
44,37,Timothy Olyphant,a green tea,large,a classic oatmeal
45,38,Robin Tunney,a white hot chocolate,medium,
46,39,Jake Johnson,a mocha,small,
47,40,Joshua Jackson,a breakfast tea,large,a gingerbread cookie
48,41,Ashley Benson,an iced hot chocolate,small,a classic oatmeal
49,41,Ashley Benson,an americano,large,
50,40,Joshua Jackson,a breakfast tea,large,a gingerbread cookie
51,42,Jane Lynch,a cordusio,large,a blueberry muffin
52,15,Jennifer Lawrence,a hot chocolate,large,a blueberry muffin
53,43,David Schwimmer,a green tea,large,a blueberry muffin
54,44,Zoe Saldana,a mocha,large,
55,45,John Slattery,a white hot chocolate,small,
56,46,Aaron Paul,an espresso con panna,small,a lemon pound cake
57,39,Jake Johnson,an espresso con panna,large,
58,47,Lea Michele,an espresso macchiato,large,
59,48,Jon Hamm,a hot chocolate,small,
60,22,Jesse Tyler Ferguson,an americano,small,a croissant
61,49,Jessica Capshaw,a flat white,medium,
62,38,Robin Tunney,a white hot chocolate,medium,
63,17,Alison Brie,a cappuccino,small,a lemon pound cake
