IN,CusID,CusName,Drink,Size,Extra
1,101,John Cusack,an iced caramel macchiato,grande,a white chocolate cheesecake
2,102,Rupert Grint,a chai tea latte,grande,
3,103,Simon Pegg,an iced coffee americano,short,an egg sandwich
4,104,Sean Murray,an iced caramel macchiato,grande,
5,105,Laurie Holden,an iced latte macchiato,grande,a raspberry cheesecake
6,106,Grant Gustin,an iced latte macchiato,tall,a whole-grain feta sandwich
7,107,Claire Danes,an iced pumpkin spice chai latte,short,
8,108,Chiwetel Ejiofor,an iced caramel macchiato,grande,a vegetable sandwich
9,109,David Spade,a peach iced tea,grande,
10,110,Emma Thompson,a peach iced tea,grande,a fruit mix
11,111,Melissa Rauch,a bottle of water,short,
12,112,Mads Mikkelsen,an iced caramel macchiato,grande,
13,113,Olga Kurylenko,an iced coffee americano,grande,a lemon cheesecake
14,114,Chris Messina,a pumpkin spice latte,grande,
15,115,Michael Vartan,a chai tea latte,grande,a yogurt parfait
16,116,Jason Bateman,an iced latte macchiato,short,
17,117,Patricia Arquette,a salted caramel mocha,tall,an egg sandwich
18,118,Fred Armisen,an iced salted caramel mocha,short,
19,119,Poppy Montgomery,a chai tea latte,short,
20,120,Hayden Christensen,an iced cordusio,grande,a milk chocolate bar
21,121,James Roday,an iced caramel macchiato,short,a PBJ sandwich
22,122,Scarlett Johansson,a peach iced tea,short,a tomato and mozzarella panini
23,123,Busy Philipps,an iced salted caramel mocha,tall,a salted caramel brownie
24,105,Laurie Holden,an iced cinnamon dolce latte,short,a dark chocolate bar
25,124,Ashton Kutcher,an iced cordusio,short,
26,119,Poppy Montgomery,a chai tea latte,short,
27,106,Grant Gustin,an iced pumpkin spice chai latte,short,
28,120,Hayden Christensen,an iced cordusio,grande,a milk chocolate bar
29,125,Alexander Skarsgard,an iced latte macchiato,short,
30,126,Lyndsy Fonseca,a salted caramel mocha,grande,a vegan wrap
31,127,Russell Brand,an iced coffee americano,grande,a dark chocolate bar
32,128,Kristen Wiig,an iced coffee mocha,tall,
33,129,Cory Monteith,a peach iced tea,short,
34,130,Josh Hutcherson,a soy latte,grande,a chocolate brownie
35,121,James Roday,a strawberry lemonade,grande,a whole-grain feta sandwich
36,131,Ted Danson,a soy latte,grande,a chocolate brownie
37,132,Marg Helgenberger,an iced cordusio,grande,a vegetable sandwich
38,133,Chris O'Donnell,a peach iced tea,grande,a dark chocolate bar
39,111,Melissa Rauch,an iced salted caramel mocha,short,a tomato and mozzarella panini
40,123,Busy Philipps,a soy latte,tall,
41,134,Suzanne Somers,an iced cinnamon dolce latte,tall,a granola bar
42,135,Kyra Sedgwick,a chai tea latte,short,a fruit mix
43,136,Tina Fey,a salted caramel mocha,tall,
44,137,Emma Watson,an iced salted caramel mocha,short,a milk chocolate bar
45,138,Bradley Cooper,an iced cordusio,short,
46,118,Fred Armisen,an orange juice,grande,a dark chocolate bar
47,139,Christian Kane,an iced cinnamon dolce latte,tall,
48,140,Sophie Turner,a bottle of water,short,
49,141,Josh Charles,an orange juice,tall,
50,142,Ewan McGregor,an iced pumpkin spice chai latte,tall,a strawberry cheesecake
51,143,Billy Campbell,an iced cordusio,grande,
52,144,Steve Carell,a cinnamon latte,grande,
53,132,Marg Helgenberger,an iced caramel macchiato,tall,
54,145,Jessica Biel,a peach iced tea,tall,
55,144,Steve Carell,a cinnamon latte,grande,
56,146,Ansel Elgort,an iced cinnamon dolce latte,tall,
57,147,Robert Downey Jr.,an orange juice,short,
58,148,Eddie McClintock,a chai tea latte,grande,
59,127,Russell Brand,a cinnamon latte,tall,a granola bar
60,149,Todd Bridges,an iced latte macchiato,grande,
61,150,Maisie Williams,a chai tea latte,grande,a vegan wrap
62,123,Busy Philipps,a soy latte,tall,
63,151,Lisa Whelchel,an iced cordusio,tall,
64,115,Michael Vartan,a salted caramel mocha,grande,a vegetable sandwich
65,109,David Spade,an iced cinnamon dolce latte,tall,a white chocolate cheesecake
66,152,Missy Peregrym,a strawberry lemonade,short,a raspberry cheesecake
67,150,Maisie Williams,a salted caramel mocha,tall,a salted caramel brownie
68,103,Simon Pegg,an iced latte macchiato,short,
69,108,Chiwetel Ejiofor,an iced caramel macchiato,grande,a vegetable sandwich
70,126,Lyndsy Fonseca,a pumpkin spice latte,grande,a chicken and pesto panini
71,153,Deborah Ann Woll,a salted caramel mocha,tall,a PBJ sandwich
72,139,Christian Kane,an orange juice,grande,
73,137,Emma Watson,a raspberry lemonade,grande,a granola bar
74,145,Jessica Biel,a salted caramel mocha,grande,
75,154,Eddie Redmayne,a salted caramel mocha,tall,a milk chocolate bar
76,155,Gina Bellman,an iced cordusio,grande,
77,126,Lyndsy Fonseca,a strawberry lemonade,grande,a PBJ sandwich
78,156,Jesse Williams,an iced pumpkin spice latte,tall,
79,147,Robert Downey Jr.,a lemonade,grande,
80,152,Missy Peregrym,an orange juice,tall,a dark chocolate bar
81,156,Jesse Williams,an iced pumpkin spice chai latte,tall,
82,157,Seth Rogen,an iced pumpkin spice latte,short,an egg sandwich
83,108,Chiwetel Ejiofor,an iced caramel macchiato,grande,a vegetable sandwich
84,155,Gina Bellman,a soy latte,grande,
85,158,Nicole Kidman,a bottle of water,short,a PBJ sandwich
86,126,Lyndsy Fonseca,an iced salted caramel mocha,short,a strawberry cheesecake
87,114,Chris Messina,a pumpkin spice latte,grande,
88,158,Nicole Kidman,a bottle of water,short,a PBJ sandwich
89,154,Eddie Redmayne,an iced caramel macchiato,tall,
90,159,Chandra Wilson,an iced salted caramel mocha,grande,
91,160,Kit Harington,an iced coffee americano,grande,
92,118,Fred Armisen,an orange juice,grande,a dark chocolate bar
93,161,Michael Fassbender,a salted caramel mocha,short,a dark chocolate bar
94,122,Scarlett Johansson,a soy latte,tall,
95,109,David Spade,a bottle of water,short,a granola bar
96,106,Grant Gustin,an iced pumpkin spice chai latte,short,
97,162,Victor Garber,an iced pumpkin spice chai latte,grande,
98,103,Simon Pegg,an iced latte macchiato,short,
99,137,Emma Watson,a raspberry lemonade,grande,a granola bar
100,156,Jesse Williams,an iced pumpkin spice chai latte,tall,
101,163,Kathy Bates,a salted caramel mocha,tall,
102,164,Scott Caan,an iced pumpkin spice latte,grande,
103,144,Steve Carell,a cinnamon latte,grande,
104,165,Jenna Coleman,a peach iced tea,grande,
105,166,Shelley Hennig,an iced coffee mocha,short,
106,147,Robert Downey Jr.,a lemonade,grande,
