1 Hello ! Which drink can I get for you ?
1 Hello ! Which drink can I get for you today ?
1 Hello ! Which drink would you like to have ?
1 Hello ! Which drink would you like today ?
1 Hi ! Which drink can I get for you ?
1 Hi ! Which drink can I get for you today ?
1 Hi ! Which drink would you like to have ?
1 Hi ! Which drink would you like today ?
1 Welcome to Botista ! Which drink can I get for you ?
1 Welcome to Botista ! Which drink can I get for you today ?
1 Welcome to Botista ! Which drink would you like to have ?
1 Welcome to Botista ! Which drink would you like today ?
1 Welcome to the coffee heaven ! Which drink can I get for you ?
1 Welcome to the coffee heaven ! Which drink can I get for you today ?
1 Welcome to the coffee heaven ! Which drink would you like to have ?
1 Welcome to the coffee heaven ! Which drink would you like today ?
1 Great ! Can I take your name ? api_call getCustomerName
1 Perfect ! What would be the name ? api_call getCustomerName
1 May I take your name , please ? api_call getCustomerName
1 Great , and what is your name ? api_call getCustomerName
1 Have a nice day !
1 Have a great day !
1 Enjoy your day !
1 Have a nice day ! Hope to see you again at Botista !
1 I wish you an amazing day !
1 Your order will be ready at the next counter , Keri .
1 You can pick up your order at the next counter , Keri .
1 We will get that ready for you at the next counter , Keri .
1 Your order will be ready at the next counter , Kevin .
1 You can pick up your order at the next counter , Kevin .
1 We will get that ready for you at the next counter , Kevin .
1 Your order will be ready at the next counter , David .
1 You can pick up your order at the next counter , David .
1 We will get that ready for you at the next counter , David .
1 Your order will be ready at the next counter , Mayim .
1 You can pick up your order at the next counter , Mayim .
1 We will get that ready for you at the next counter , Mayim .
1 Your order will be ready at the next counter , America .
1 You can pick up your order at the next counter , America .
1 We will get that ready for you at the next counter , America .
1 Your order will be ready at the next counter , Shane .
1 You can pick up your order at the next counter , Shane .
1 We will get that ready for you at the next counter , Shane .
1 Your order will be ready at the next counter , Ty .
1 You can pick up your order at the next counter , Ty .
1 We will get that ready for you at the next counter , Ty .
1 Your order will be ready at the next counter , Matt .
1 You can pick up your order at the next counter , Matt .
1 We will get that ready for you at the next counter , Matt .
1 Your order will be ready at the next counter , Matthew .
1 You can pick up your order at the next counter , Matthew .
1 We will get that ready for you at the next counter , Matthew .
1 Your order will be ready at the next counter , Roseanne .
1 You can pick up your order at the next counter , Roseanne .
1 We will get that ready for you at the next counter , Roseanne .
1 Your order will be ready at the next counter , Ellen .
1 You can pick up your order at the next counter , Ellen .
1 We will get that ready for you at the next counter , Ellen .
1 Your order will be ready at the next counter , Michael .
1 You can pick up your order at the next counter , Michael .
1 We will get that ready for you at the next counter , Michael .
1 Your order will be ready at the next counter , Kodi .
1 You can pick up your order at the next counter , Kodi .
1 We will get that ready for you at the next counter , Kodi .
1 Your order will be ready at the next counter , Chris .
1 You can pick up your order at the next counter , Chris .
1 We will get that ready for you at the next counter , Chris .
1 Your order will be ready at the next counter , Robin .
1 You can pick up your order at the next counter , Robin .
1 We will get that ready for you at the next counter , Robin .
1 Your order will be ready at the next counter , John .
1 You can pick up your order at the next counter , John .
1 We will get that ready for you at the next counter , John .
1 Your order will be ready at the next counter , Charlie .
1 You can pick up your order at the next counter , Charlie .
1 We will get that ready for you at the next counter , Charlie .
1 Your order will be ready at the next counter , Jane .
1 You can pick up your order at the next counter , Jane .
1 We will get that ready for you at the next counter , Jane .
1 Your order will be ready at the next counter , Sarah .
1 You can pick up your order at the next counter , Sarah .
1 We will get that ready for you at the next counter , Sarah .
1 Your order will be ready at the next counter , Ariana .
1 You can pick up your order at the next counter , Ariana .
1 We will get that ready for you at the next counter , Ariana .
1 Your order will be ready at the next counter , Angelina .
1 You can pick up your order at the next counter , Angelina .
1 We will get that ready for you at the next counter , Angelina .
1 Your order will be ready at the next counter , Stephen .
1 You can pick up your order at the next counter , Stephen .
1 We will get that ready for you at the next counter , Stephen .
1 Your order will be ready at the next counter , Johnny .
1 You can pick up your order at the next counter , Johnny .
1 We will get that ready for you at the next counter , Johnny .
1 Your order will be ready at the next counter , Jake .
1 You can pick up your order at the next counter , Jake .
1 We will get that ready for you at the next counter , Jake .
1 Your order will be ready at the next counter , Kiefer .
1 You can pick up your order at the next counter , Kiefer .
1 We will get that ready for you at the next counter , Kiefer .
1 Your order will be ready at the next counter , Simon .
1 You can pick up your order at the next counter , Simon .
1 We will get that ready for you at the next counter , Simon .
1 Your order will be ready at the next counter , Anna .
1 You can pick up your order at the next counter , Anna .
1 We will get that ready for you at the next counter , Anna .
1 Your order will be ready at the next counter , Josh .
1 You can pick up your order at the next counter , Josh .
1 We will get that ready for you at the next counter , Josh .
1 Your order will be ready at the next counter , Leighton .
1 You can pick up your order at the next counter , Leighton .
1 We will get that ready for you at the next counter , Leighton .
1 Your order will be ready at the next counter , Mark .
1 You can pick up your order at the next counter , Mark .
1 We will get that ready for you at the next counter , Mark .
1 Your order will be ready at the next counter , Alyson .
1 You can pick up your order at the next counter , Alyson .
1 We will get that ready for you at the next counter , Alyson .
1 Your order will be ready at the next counter , Julie .
1 You can pick up your order at the next counter , Julie .
1 We will get that ready for you at the next counter , Julie .
1 Your order will be ready at the next counter , Troian .
1 You can pick up your order at the next counter , Troian .
1 We will get that ready for you at the next counter , Troian .
1 Your order will be ready at the next counter , AnnaLynne .
1 You can pick up your order at the next counter , AnnaLynne .
1 We will get that ready for you at the next counter , AnnaLynne .
1 Your order will be ready at the next counter , RuPaul .
1 You can pick up your order at the next counter , RuPaul .
1 We will get that ready for you at the next counter , RuPaul .
1 Your order will be ready at the next counter , Ryan .
1 You can pick up your order at the next counter , Ryan .
1 We will get that ready for you at the next counter , Ryan .
1 Your order will be ready at the next counter , Taylor .
1 You can pick up your order at the next counter , Taylor .
1 We will get that ready for you at the next counter , Taylor .
1 Your order will be ready at the next counter , Ed .
1 You can pick up your order at the next counter , Ed .
1 We will get that ready for you at the next counter , Ed .
1 Your order will be ready at the next counter , Timothy .
1 You can pick up your order at the next counter , Timothy .
1 We will get that ready for you at the next counter , Timothy .
1 Your order will be ready at the next counter , Noah .
1 You can pick up your order at the next counter , Noah .
1 We will get that ready for you at the next counter , Noah .
1 Your order will be ready at the next counter , Anne .
1 You can pick up your order at the next counter , Anne .
1 We will get that ready for you at the next counter , Anne .
1 Your order will be ready at the next counter , Channing .
1 You can pick up your order at the next counter , Channing .
1 We will get that ready for you at the next counter , Channing .
1 Your order will be ready at the next counter , Will .
1 You can pick up your order at the next counter , Will .
1 We will get that ready for you at the next counter , Will .
1 Your order will be ready at the next counter , Ashley .
1 You can pick up your order at the next counter , Ashley .
1 We will get that ready for you at the next counter , Ashley .
1 Your order will be ready at the next counter , Leonardo .
1 You can pick up your order at the next counter , Leonardo .
1 We will get that ready for you at the next counter , Leonardo .
1 Your order will be ready at the next counter , Lea .
1 You can pick up your order at the next counter , Lea .
1 We will get that ready for you at the next counter , Lea .
1 Your order will be ready at the next counter , Lena .
1 You can pick up your order at the next counter , Lena .
1 We will get that ready for you at the next counter , Lena .
1 Your order will be ready at the next counter , Sandra .
1 You can pick up your order at the next counter , Sandra .
1 We will get that ready for you at the next counter , Sandra .
1 Your order will be ready at the next counter , Kerry .
1 You can pick up your order at the next counter , Kerry .
1 We will get that ready for you at the next counter , Kerry .
1 Your order will be ready at the next counter , James .
1 You can pick up your order at the next counter , James .
1 We will get that ready for you at the next counter , James .
1 Your order will be ready at the next counter , Andrew .
1 You can pick up your order at the next counter , Andrew .
1 We will get that ready for you at the next counter , Andrew .
1 Your order will be ready at the next counter , Chloe .
1 You can pick up your order at the next counter , Chloe .
1 We will get that ready for you at the next counter , Chloe .
1 Your order will be ready at the next counter , Kristen .
1 You can pick up your order at the next counter , Kristen .
1 We will get that ready for you at the next counter , Kristen .
1 Your order will be ready at the next counter , Joshua .
1 You can pick up your order at the next counter , Joshua .
1 We will get that ready for you at the next counter , Joshua .
1 Your order will be ready at the next counter , Teri .
1 You can pick up your order at the next counter , Teri .
1 We will get that ready for you at the next counter , Teri .
1 Your order will be ready at the next counter , Jon .
1 You can pick up your order at the next counter , Jon .
1 We will get that ready for you at the next counter , Jon .
1 Your order will be ready at the next counter , Mindy .
1 You can pick up your order at the next counter , Mindy .
1 We will get that ready for you at the next counter , Mindy .
1 Your order will be ready at the next counter , Robert .
1 You can pick up your order at the next counter , Robert .
1 We will get that ready for you at the next counter , Robert .
1 Your order will be ready at the next counter , Kaley .
1 You can pick up your order at the next counter , Kaley .
1 We will get that ready for you at the next counter , Kaley .
1 Your order will be ready at the next counter , Rachel .
1 You can pick up your order at the next counter , Rachel .
1 We will get that ready for you at the next counter , Rachel .
1 Your order will be ready at the next counter , Cate .
1 You can pick up your order at the next counter , Cate .
1 We will get that ready for you at the next counter , Cate .
1 Your order will be ready at the next counter , Melissa .
1 You can pick up your order at the next counter , Melissa .
1 We will get that ready for you at the next counter , Melissa .
1 Your order will be ready at the next counter , Aaron .
1 You can pick up your order at the next counter , Aaron .
1 We will get that ready for you at the next counter , Aaron .
1 Your order will be ready at the next counter , Joel .
1 You can pick up your order at the next counter , Joel .
1 We will get that ready for you at the next counter , Joel .
1 Your order will be ready at the next counter , Miles .
1 You can pick up your order at the next counter , Miles .
1 We will get that ready for you at the next counter , Miles .
1 Your order will be ready at the next counter , Laura .
1 You can pick up your order at the next counter , Laura .
1 We will get that ready for you at the next counter , Laura .
1 Your order will be ready at the next counter , Felicity .
1 You can pick up your order at the next counter , Felicity .
1 We will get that ready for you at the next counter , Felicity .
1 Your order will be ready at the next counter , Hugh .
1 You can pick up your order at the next counter , Hugh .
1 We will get that ready for you at the next counter , Hugh .
1 Your order will be ready at the next counter , Jessica .
1 You can pick up your order at the next counter , Jessica .
1 We will get that ready for you at the next counter , Jessica .
1 Your order will be ready at the next counter , Damian .
1 You can pick up your order at the next counter , Damian .
1 We will get that ready for you at the next counter , Damian .
1 Your order will be ready at the next counter , Brad .
1 You can pick up your order at the next counter , Brad .
1 We will get that ready for you at the next counter , Brad .
1 Your order will be ready at the next counter , Paul .
1 You can pick up your order at the next counter , Paul .
1 We will get that ready for you at the next counter , Paul .
1 Your order will be ready at the next counter , Patrick .
1 You can pick up your order at the next counter , Patrick .
1 We will get that ready for you at the next counter , Patrick .
1 Your order will be ready at the next counter , Angie .
1 You can pick up your order at the next counter , Angie .
1 We will get that ready for you at the next counter , Angie .
1 Your order will be ready at the next counter , Mireille .
1 You can pick up your order at the next counter , Mireille .
1 We will get that ready for you at the next counter , Mireille .
1 Your order will be ready at the next counter , Jesse .
1 You can pick up your order at the next counter , Jesse .
1 We will get that ready for you at the next counter , Jesse .
1 Your order will be ready at the next counter , Jennifer .
1 You can pick up your order at the next counter , Jennifer .
1 We will get that ready for you at the next counter , Jennifer .
1 Your order will be ready at the next counter , Justin .
1 You can pick up your order at the next counter , Justin .
1 We will get that ready for you at the next counter , Justin .
1 Your order will be ready at the next counter , Zac .
1 You can pick up your order at the next counter , Zac .
1 We will get that ready for you at the next counter , Zac .
1 Your order will be ready at the next counter , Cote .
1 You can pick up your order at the next counter , Cote .
1 We will get that ready for you at the next counter , Cote .
1 Your order will be ready at the next counter , Zoe .
1 You can pick up your order at the next counter , Zoe .
1 We will get that ready for you at the next counter , Zoe .
1 Your order will be ready at the next counter , Jeffrey .
1 You can pick up your order at the next counter , Jeffrey .
1 We will get that ready for you at the next counter , Jeffrey .
1 Your order will be ready at the next counter , Jim .
1 You can pick up your order at the next counter , Jim .
1 We will get that ready for you at the next counter , Jim .
1 Your order will be ready at the next counter , Jonny .
1 You can pick up your order at the next counter , Jonny .
1 We will get that ready for you at the next counter , Jonny .
1 Your order will be ready at the next counter , Jensen .
1 You can pick up your order at the next counter , Jensen .
1 We will get that ready for you at the next counter , Jensen .
1 Your order will be ready at the next counter , Norman .
1 You can pick up your order at the next counter , Norman .
1 We will get that ready for you at the next counter , Norman .
1 Your order will be ready at the next counter , Ginnifer .
1 You can pick up your order at the next counter , Ginnifer .
1 We will get that ready for you at the next counter , Ginnifer .
1 Your order will be ready at the next counter , Alison .
1 You can pick up your order at the next counter , Alison .
1 We will get that ready for you at the next counter , Alison .
1 Your order will be ready at the next counter , Emily .
1 You can pick up your order at the next counter , Emily .
1 We will get that ready for you at the next counter , Emily .
1 Your order will be ready at the next counter , Charlize .
1 You can pick up your order at the next counter , Charlize .
1 We will get that ready for you at the next counter , Charlize .
1 Your order will be ready at the next counter , Bradley .
1 You can pick up your order at the next counter , Bradley .
1 We will get that ready for you at the next counter , Bradley .
1 Your order will be ready at the next counter , Reginald .
1 You can pick up your order at the next counter , Reginald .
1 We will get that ready for you at the next counter , Reginald .
1 Your order will be ready at the next counter , Danai .
1 You can pick up your order at the next counter , Danai .
1 We will get that ready for you at the next counter , Danai .
1 Your order will be ready at the next counter , Jason .
1 You can pick up your order at the next counter , Jason .
1 We will get that ready for you at the next counter , Jason .
1 Your order will be ready at the next counter , Lindsay .
1 You can pick up your order at the next counter , Lindsay .
1 We will get that ready for you at the next counter , Lindsay .
1 Your order will be ready at the next counter , Sophie .
1 You can pick up your order at the next counter , Sophie .
1 We will get that ready for you at the next counter , Sophie .
1 Your order will be ready at the next counter , Chandra .
1 You can pick up your order at the next counter , Chandra .
1 We will get that ready for you at the next counter , Chandra .
1 Your order will be ready at the next counter , Alexander .
1 You can pick up your order at the next counter , Alexander .
1 We will get that ready for you at the next counter , Alexander .
1 Your order will be ready at the next counter , Leslie .
1 You can pick up your order at the next counter , Leslie .
1 We will get that ready for you at the next counter , Leslie .
1 Your order will be ready at the next counter , Lily .
1 You can pick up your order at the next counter , Lily .
1 We will get that ready for you at the next counter , Lily .
1 Your order will be ready at the next counter , Poppy .
1 You can pick up your order at the next counter , Poppy .
1 We will get that ready for you at the next counter , Poppy .
1 Your order will be ready at the next counter , Eric .
1 You can pick up your order at the next counter , Eric .
1 We will get that ready for you at the next counter , Eric .
1 Your order will be ready at the next counter , Charlotte .
1 You can pick up your order at the next counter , Charlotte .
1 We will get that ready for you at the next counter , Charlotte .
1 Your order will be ready at the next counter , Laurie .
1 You can pick up your order at the next counter , Laurie .
1 We will get that ready for you at the next counter , Laurie .
1 Your order will be ready at the next counter , Reese .
1 You can pick up your order at the next counter , Reese .
1 We will get that ready for you at the next counter , Reese .
1 Your order will be ready at the next counter , Amy .
1 You can pick up your order at the next counter , Amy .
1 We will get that ready for you at the next counter , Amy .
1 Your order will be ready at the next counter , Travis .
1 You can pick up your order at the next counter , Travis .
1 We will get that ready for you at the next counter , Travis .
1 Your order will be ready at the next counter , Jenna .
1 You can pick up your order at the next counter , Jenna .
1 We will get that ready for you at the next counter , Jenna .
1 Your order will be ready at the next counter , Mads .
1 You can pick up your order at the next counter , Mads .
1 We will get that ready for you at the next counter , Mads .
1 Your order will be ready at the next counter , Eddie .
1 You can pick up your order at the next counter , Eddie .
1 We will get that ready for you at the next counter , Eddie .
1 Your order will be ready at the next counter , Seth .
1 You can pick up your order at the next counter , Seth .
1 We will get that ready for you at the next counter , Seth .
1 Your order will be ready at the next counter , Lyndsy .
1 You can pick up your order at the next counter , Lyndsy .
1 We will get that ready for you at the next counter , Lyndsy .
1 Your order will be ready at the next counter , Cory .
1 You can pick up your order at the next counter , Cory .
1 We will get that ready for you at the next counter , Cory .
1 Your order will be ready at the next counter , Candice .
1 You can pick up your order at the next counter , Candice .
1 We will get that ready for you at the next counter , Candice .
1 Your order will be ready at the next counter , Beth .
1 You can pick up your order at the next counter , Beth .
1 We will get that ready for you at the next counter , Beth .
1 Your order will be ready at the next counter , Suzanne .
1 You can pick up your order at the next counter , Suzanne .
1 We will get that ready for you at the next counter , Suzanne .
1 Your order will be ready at the next counter , Gina .
1 You can pick up your order at the next counter , Gina .
1 We will get that ready for you at the next counter , Gina .
1 Your order will be ready at the next counter , Hayden .
1 You can pick up your order at the next counter , Hayden .
1 We will get that ready for you at the next counter , Hayden .
1 Your order will be ready at the next counter , Marg .
1 You can pick up your order at the next counter , Marg .
1 We will get that ready for you at the next counter , Marg .
1 Your order will be ready at the next counter , Scarlett .
1 You can pick up your order at the next counter , Scarlett .
1 We will get that ready for you at the next counter , Scarlett .
1 Your order will be ready at the next counter , Ewan .
1 You can pick up your order at the next counter , Ewan .
1 We will get that ready for you at the next counter , Ewan .
1 Your order will be ready at the next counter , Kat .
1 You can pick up your order at the next counter , Kat .
1 We will get that ready for you at the next counter , Kat .
1 Your order will be ready at the next counter , Kathy .
1 You can pick up your order at the next counter , Kathy .
1 We will get that ready for you at the next counter , Kathy .
1 Your order will be ready at the next counter , Claire .
1 You can pick up your order at the next counter , Claire .
1 We will get that ready for you at the next counter , Claire .
1 Your order will be ready at the next counter , Ted .
1 You can pick up your order at the next counter , Ted .
1 We will get that ready for you at the next counter , Ted .
1 Your order will be ready at the next counter , Billy .
1 You can pick up your order at the next counter , Billy .
1 We will get that ready for you at the next counter , Billy .
1 Your order will be ready at the next counter , Rupert .
1 You can pick up your order at the next counter , Rupert .
1 We will get that ready for you at the next counter , Rupert .
1 Your order will be ready at the next counter , Todd .
1 You can pick up your order at the next counter , Todd .
1 We will get that ready for you at the next counter , Todd .
1 Your order will be ready at the next counter , Shelley .
1 You can pick up your order at the next counter , Shelley .
1 We will get that ready for you at the next counter , Shelley .
1 Your order will be ready at the next counter , Olga .
1 You can pick up your order at the next counter , Olga .
1 We will get that ready for you at the next counter , Olga .
1 Your order will be ready at the next counter , Ron .
1 You can pick up your order at the next counter , Ron .
1 We will get that ready for you at the next counter , Ron .
1 Your order will be ready at the next counter , Ansel .
1 You can pick up your order at the next counter , Ansel .
1 We will get that ready for you at the next counter , Ansel .
1 Your order will be ready at the next counter , Steve .
1 You can pick up your order at the next counter , Steve .
1 We will get that ready for you at the next counter , Steve .
1 Your order will be ready at the next counter , Emma .
1 You can pick up your order at the next counter , Emma .
1 We will get that ready for you at the next counter , Emma .
1 Your order will be ready at the next counter , Lisa .
1 You can pick up your order at the next counter , Lisa .
1 We will get that ready for you at the next counter , Lisa .
1 Your order will be ready at the next counter , Marion .
1 You can pick up your order at the next counter , Marion .
1 We will get that ready for you at the next counter , Marion .
1 Your order will be ready at the next counter , Russell .
1 You can pick up your order at the next counter , Russell .
1 We will get that ready for you at the next counter , Russell .
1 Your order will be ready at the next counter , Owen .
1 You can pick up your order at the next counter , Owen .
1 We will get that ready for you at the next counter , Owen .
1 Your order will be ready at the next counter , Chandler .
1 You can pick up your order at the next counter , Chandler .
1 We will get that ready for you at the next counter , Chandler .
1 Your order will be ready at the next counter , Megan .
1 You can pick up your order at the next counter , Megan .
1 We will get that ready for you at the next counter , Megan .
1 Your order will be ready at the next counter , Busy .
1 You can pick up your order at the next counter , Busy .
1 We will get that ready for you at the next counter , Busy .
1 Your order will be ready at the next counter , Grant .
1 You can pick up your order at the next counter , Grant .
1 We will get that ready for you at the next counter , Grant .
1 Your order will be ready at the next counter , Terrence .
1 You can pick up your order at the next counter , Terrence .
1 We will get that ready for you at the next counter , Terrence .
1 Your order will be ready at the next counter , Tina .
1 You can pick up your order at the next counter , Tina .
1 We will get that ready for you at the next counter , Tina .
1 Your order will be ready at the next counter , Scott .
1 You can pick up your order at the next counter , Scott .
1 We will get that ready for you at the next counter , Scott .
1 Your order will be ready at the next counter , Missy .
1 You can pick up your order at the next counter , Missy .
1 We will get that ready for you at the next counter , Missy .
1 Your order will be ready at the next counter , Kyra .
1 You can pick up your order at the next counter , Kyra .
1 We will get that ready for you at the next counter , Kyra .
1 Your order will be ready at the next counter , Maisie .
1 You can pick up your order at the next counter , Maisie .
1 We will get that ready for you at the next counter , Maisie .
1 Your order will be ready at the next counter , Chiwetel .
1 You can pick up your order at the next counter , Chiwetel .
1 We will get that ready for you at the next counter , Chiwetel .
1 Your order will be ready at the next counter , Carey .
1 You can pick up your order at the next counter , Carey .
1 We will get that ready for you at the next counter , Carey .
1 Your order will be ready at the next counter , Nicole .
1 You can pick up your order at the next counter , Nicole .
1 We will get that ready for you at the next counter , Nicole .
1 Your order will be ready at the next counter , Deborah .
1 You can pick up your order at the next counter , Deborah .
1 We will get that ready for you at the next counter , Deborah .
1 Your order will be ready at the next counter , Chace .
1 You can pick up your order at the next counter , Chace .
1 We will get that ready for you at the next counter , Chace .
1 Your order will be ready at the next counter , Brooke .
1 You can pick up your order at the next counter , Brooke .
1 We will get that ready for you at the next counter , Brooke .
1 Your order will be ready at the next counter , Garrett .
1 You can pick up your order at the next counter , Garrett .
1 We will get that ready for you at the next counter , Garrett .
