1:David Boreanaz-[['a black tea', 'large', 'a chocolate caramel shortbread'], ['a black tea', 'large', 'a chocolate caramel shortbread'], ['a black tea', 'large', 'a chocolate caramel shortbread']]
2:Kiefer Sutherland-[['a latte', 'medium', 'a breakfast tortilla wrap'], ['a latte', 'medium', 'a breakfast tortilla wrap'], ['a latte', 'medium', 'a breakfast tortilla wrap']]
3:Rachel Bilson-[['a cappuccino', 'large', 'a blueberry oatmeal'], ['a cappuccino', 'large', 'a blueberry oatmeal'], ['a cappuccino', 'large', 'a blueberry oatmeal']]
4:Melissa McBride-[['a black tea', 'large', ''], ['a black tea', 'large', ''], ['a black tea', 'large', '']]
5:Alison Brie-[['a hot chocolate', 'large', 'a gingerbread cookie'], ['a hot chocolate', 'large', 'a gingerbread cookie'], ['a hot chocolate', 'large', 'a gingerbread cookie']]
6:America Ferrera-[['a peppermint hot chocolate', 'large', ''], ['a peppermint hot chocolate', 'large', ''], ['a peppermint hot chocolate', 'large', '']]
7:Sarah Wayne Callies-[['a hot chocolate', 'large', 'a veggie tortilla wrap'], ['a hot chocolate', 'large', 'a veggie tortilla wrap'], ['a hot chocolate', 'large', 'a veggie tortilla wrap']]
8:Channing Tatum-[['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', '']]
9:Ellen Pompeo-[['an espresso macchiato', 'medium', 'a lemon pound cake'], ['an espresso macchiato', 'medium', 'a lemon pound cake'], ['an espresso macchiato', 'medium', 'a lemon pound cake']]
10:Norman Reedus-[['an americano', 'small', 'a pain aux raisins'], ['an americano', 'small', 'a pain aux raisins'], ['an americano', 'small', 'a pain aux raisins']]
11:Keri Russell-[['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', '']]
12:Patrick Dempsey-[['a black tea', 'large', ''], ['a black tea', 'large', ''], ['a black tea', 'large', '']]
13:Matt Bomer-[['a caramel macchiato', 'medium', ''], ['a caramel macchiato', 'medium', ''], ['a caramel macchiato', 'medium', '']]
14:Alyson Hannigan-[['a latte', 'medium', ''], ['a latte', 'medium', ''], ['a latte', 'medium', '']]
15:Chris Colfer-[['a green tea', 'medium', ''], ['a green tea', 'medium', ''], ['a green tea', 'medium', '']]
16:Mark Wahlberg-[['an espresso con panna', 'medium', 'a veggie tortilla wrap'], ['an espresso con panna', 'medium', 'a veggie tortilla wrap'], ['an espresso con panna', 'medium', 'a veggie tortilla wrap']]
17:Josh Radnor-[['a salted caramel hot chocolate', 'medium', 'an everything bagel'], ['a salted caramel hot chocolate', 'medium', 'an everything bagel'], ['a salted caramel hot chocolate', 'medium', 'an everything bagel']]
18:Jon Hamm-[['a breakfast tea', 'medium', ''], ['a breakfast tea', 'medium', ''], ['a breakfast tea', 'medium', '']]
19:John Slattery-[['an espresso macchiato', 'large', 'an everything bagel'], ['an espresso macchiato', 'large', 'an everything bagel'], ['an espresso macchiato', 'large', 'an everything bagel']]
20:Troian Bellisario-[['a mocha', 'large', ''], ['a mocha', 'large', ''], ['a mocha', 'large', '']]
21:Justin Chambers-[['a cappuccino', 'small', ''], ['a cappuccino', 'small', ''], ['a cappuccino', 'small', '']]
22:Charlie Hunnam-[['a mocha', 'large', ''], ['a mocha', 'large', ''], ['a mocha', 'large', '']]
23:Damian Lewis-[['a cappuccino', 'small', ''], ['a cappuccino', 'small', ''], ['a cappuccino', 'small', '']]
24:Mindy Kaling-[['a mocha', 'large', 'a chocolate chip cookie'], ['a mocha', 'large', 'a chocolate chip cookie'], ['a mocha', 'large', 'a chocolate chip cookie']]
25:Zoe Saldana-[['an espresso macchiato', 'medium', ''], ['an espresso macchiato', 'medium', ''], ['an espresso macchiato', 'medium', '']]
26:Anna Torv-[['a cordusio', 'large', 'a carrot cake'], ['a cordusio', 'large', 'a carrot cake'], ['a cordusio', 'large', 'a carrot cake']]
27:Jane Lynch-[['an espresso con panna', 'large', ''], ['an espresso con panna', 'large', ''], ['an espresso con panna', 'large', '']]
28:Taylor Schilling-[['an espresso', 'medium', 'a carrot cake'], ['an espresso', 'medium', 'a carrot cake'], ['an espresso', 'medium', 'a carrot cake']]
29:Jesse Tyler Ferguson-[['a noisette', 'large', 'a lemon pound cake'], ['a noisette', 'large', 'a lemon pound cake'], ['a noisette', 'large', 'a lemon pound cake']]
30:Zac Efron-[['an espresso macchiato', 'small', 'a chocolate caramel shortbread'], ['an espresso macchiato', 'small', 'a chocolate caramel shortbread'], ['an espresso macchiato', 'small', 'a chocolate caramel shortbread']]
31:Mayim Bialik-[['a latte', 'medium', 'a croissant'], ['a latte', 'medium', 'a croissant'], ['a latte', 'medium', 'a croissant']]
32:Mark Harmon-[['an iced hot chocolate', 'small', 'a double chocolate muffin'], ['an iced hot chocolate', 'small', 'a double chocolate muffin'], ['an iced hot chocolate', 'small', 'a double chocolate muffin']]
33:Emily Deschanel-[['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', '']]
34:Joel McHale-[['an americano', 'medium', ''], ['an americano', 'medium', ''], ['an americano', 'medium', '']]
35:Sandra Oh-[['an americano', 'small', ''], ['an americano', 'small', ''], ['an americano', 'small', '']]
36:Anne Hathaway-[['a mocha', 'large', 'a croissant'], ['a mocha', 'large', 'a croissant'], ['a mocha', 'large', 'a croissant']]
37:Ed Westwick-[['an espresso macchiato', 'small', ''], ['an espresso macchiato', 'small', ''], ['an espresso macchiato', 'small', '']]
38:Lea Michele-[['a hot chocolate', 'large', 'a chocolate chip cookie'], ['a hot chocolate', 'large', 'a chocolate chip cookie'], ['a hot chocolate', 'large', 'a chocolate chip cookie']]
39:Stephen Amell-[['a salted caramel hot chocolate', 'small', 'a doughnut'], ['a salted caramel hot chocolate', 'small', 'a doughnut'], ['a salted caramel hot chocolate', 'small', 'a doughnut']]
40:AnnaLynne McCord-[['an americano', 'medium', 'a carrot cake'], ['an americano', 'medium', 'a carrot cake'], ['an americano', 'medium', 'a carrot cake']]
41:Will Smith-[['a noisette', 'large', 'a croissant'], ['a noisette', 'large', 'a croissant'], ['a noisette', 'large', 'a croissant']]
42:Kerry Washington-[['an Earl Grey', 'large', ''], ['an Earl Grey', 'large', ''], ['an Earl Grey', 'large', '']]
