IN,CusID,CusName,Drink,Size,Extra
1,101,Anna Gunn,a lemonade,grande,a chicken and pesto panini
2,102,Suzanne Somers,a peach iced tea,grande,
3,103,Michael Fassbender,an iced salted caramel mocha,tall,a whole-grain feta sandwich
4,104,Marg Helgenberger,an iced latte macchiato,tall,
5,105,Nicole Kidman,a pumpkin spice latte,grande,a granola bar
6,106,Anna Kendrick,a peach iced tea,short,an egg sandwich
7,107,Christian Kane,an iced pumpkin spice chai latte,short,a tomato and mozzarella panini
8,108,Simon Pegg,a bottle of water,short,
9,109,Jessica Biel,an iced pumpkin spice latte,grande,
10,110,Sandra Bullock,an iced salted caramel mocha,short,
11,111,Grant Gustin,a soy latte,grande,
12,112,Josh Hutcherson,a raspberry lemonade,grande,a raspberry cheesecake
13,113,Eddie Redmayne,an iced cordusio,tall,
14,114,Poppy Montgomery,an iced coffee mocha,short,a PBJ sandwich
15,115,Emma Stone,an orange juice,tall,
16,116,Kristen Wiig,an iced pumpkin spice latte,tall,
17,117,Carey Mulligan,a strawberry lemonade,tall,a vegan wrap
18,118,Kathy Bates,an iced pumpkin spice latte,short,a granola bar
19,112,Josh Hutcherson,an iced cordusio,tall,a white chocolate cheesecake
20,119,Lindsay Lohan,an iced salted caramel mocha,grande,
21,120,Jenna Coleman,an iced salted caramel mocha,grande,a dark chocolate bar
22,116,Kristen Wiig,an orange juice,tall,
23,106,Anna Kendrick,an iced salted caramel mocha,tall,a raspberry cheesecake
24,115,Emma Stone,an iced pumpkin spice latte,tall,a cheese toastie
25,120,Jenna Coleman,an iced pumpkin spice latte,grande,a raspberry cheesecake
26,121,Eddie McClintock,a pumpkin spice latte,short,
27,122,Scott Caan,a chai tea latte,grande,an egg sandwich
28,123,Ewan McGregor,an iced pumpkin spice chai latte,grande,
29,124,Marion Cotillard,an iced salted caramel mocha,grande,
30,125,Chiwetel Ejiofor,an iced caramel macchiato,tall,a PBJ sandwich
31,126,Michael Vartan,an iced caramel macchiato,short,a fruit mix
32,127,Gina Bellman,an iced cordusio,short,
33,101,Anna Gunn,a lemonade,grande,a chicken and pesto panini
34,104,Marg Helgenberger,an iced cordusio,tall,a vegetable sandwich
35,128,Candice King,a lemonade,tall,
36,129,Reginald VelJohnson,a peach iced tea,grande,
37,111,Grant Gustin,a chai tea latte,tall,a raspberry cheesecake
38,130,Lyndsy Fonseca,a peach iced tea,short,
39,130,Lyndsy Fonseca,a lemonade,tall,a PBJ sandwich
40,131,Robert Downey Jr.,a chai tea latte,tall,a vegan wrap
41,103,Michael Fassbender,a salted caramel mocha,grande,a lemon cheesecake
42,132,Kristen Bell,a chai tea latte,tall,
43,133,Travis Fimmel,an iced pumpkin spice chai latte,grande,a lemon cheesecake
44,103,Michael Fassbender,a cinnamon latte,grande,
45,124,Marion Cotillard,an iced salted caramel mocha,grande,
46,134,Deborah Ann Woll,a cinnamon latte,short,
47,135,Terrence Howard,an iced pumpkin spice latte,grande,
48,136,Jason Sudeikis,a raspberry lemonade,short,
49,108,Simon Pegg,a strawberry lemonade,grande,
50,137,Busy Philipps,a soy latte,short,a chicken and pesto panini
51,105,Nicole Kidman,an iced cordusio,tall,
52,107,Christian Kane,a raspberry lemonade,short,a dark chocolate bar
53,108,Simon Pegg,an orange juice,short,a PBJ sandwich
54,138,Beth Behrs,a peach iced tea,short,
55,125,Chiwetel Ejiofor,a chai tea latte,grande,
56,134,Deborah Ann Woll,a cinnamon latte,short,
57,139,Shelley Hennig,a soy latte,short,a cinnamon swirl
58,140,Emma Thompson,a bottle of water,tall,
59,107,Christian Kane,an iced coffee americano,short,a yogurt parfait
60,141,Chace Crawford,a soy latte,short,
61,142,Mark Feuerstein,an iced cinnamon dolce latte,short,a PBJ sandwich
62,143,Eric Dane,a lemonade,grande,
63,121,Eddie McClintock,an iced coffee americano,short,
64,136,Jason Sudeikis,a raspberry lemonade,short,
65,144,Hayden Christensen,an iced cinnamon dolce latte,tall,
66,145,Owen Wilson,an iced salted caramel mocha,grande,
67,146,Kat Graham,a salted caramel mocha,short,a cinnamon swirl
68,147,Russell Brand,an iced cinnamon dolce latte,grande,a salted caramel brownie
69,112,Josh Hutcherson,a pumpkin spice latte,grande,
70,148,Chandler Riggs,a raspberry lemonade,tall,a yogurt parfait
71,149,Claire Danes,a strawberry lemonade,tall,
72,103,Michael Fassbender,an iced coffee mocha,grande,
73,150,Ted Danson,an iced latte macchiato,short,a fruit mix
74,151,David Spade,an iced cordusio,short,a salted caramel brownie
75,137,Busy Philipps,a soy latte,short,a chicken and pesto panini
76,152,Scarlett Johansson,a bottle of water,short,
77,153,Paul Rudd,a pumpkin spice latte,short,
78,154,Cory Monteith,an iced coffee mocha,grande,a white chocolate cheesecake
79,155,Brooke Elliott,a chai tea latte,short,a strawberry cheesecake
80,154,Cory Monteith,a cinnamon latte,tall,
81,156,Chris Messina,an iced latte macchiato,tall,a white chocolate cheesecake
82,102,Suzanne Somers,an iced coffee americano,tall,a tomato and mozzarella panini
83,157,James Roday,a pumpkin spice latte,grande,
84,156,Chris Messina,a strawberry lemonade,grande,
85,158,Olga Kurylenko,a chai tea latte,short,
86,157,James Roday,a soy latte,grande,an egg sandwich
87,159,Ashton Kutcher,a strawberry lemonade,grande,a granola bar
88,126,Michael Vartan,an iced caramel macchiato,short,a fruit mix
89,124,Marion Cotillard,an iced caramel macchiato,tall,
90,106,Anna Kendrick,an iced salted caramel mocha,tall,a raspberry cheesecake
91,160,Amy Brenneman,a soy latte,grande,
92,145,Owen Wilson,a raspberry lemonade,grande,a raspberry cheesecake
93,127,Gina Bellman,a chai tea latte,short,a vegetable sandwich
94,161,Ron Perlman,an iced coffee americano,grande,a PBJ sandwich
95,108,Simon Pegg,an orange juice,short,
96,101,Anna Gunn,a lemonade,grande,a chicken and pesto panini
97,162,Jesse Williams,a salted caramel mocha,tall,a strawberry cheesecake
98,163,Lily James,an iced pumpkin spice latte,grande,
99,164,Sophie Turner,a pumpkin spice latte,tall,
100,163,Lily James,an iced pumpkin spice latte,grande,
101,163,Lily James,an iced pumpkin spice latte,grande,
102,165,Alexander Skarsgard,an iced cordusio,grande,
103,143,Eric Dane,an iced cinnamon dolce latte,grande,
104,166,Kyra Sedgwick,an iced coffee mocha,grande,
105,127,Gina Bellman,a peach iced tea,tall,
106,167,Patricia Arquette,an iced latte macchiato,short,a cinnamon swirl
107,127,Gina Bellman,a peach iced tea,tall,
108,150,Ted Danson,a cinnamon latte,short,a tomato and mozzarella panini
109,128,Candice King,an iced cordusio,grande,a salted caramel brownie
110,168,Danai Gurira,a peach iced tea,short,
