1:Troian Bellisario-[['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', '']]
2:Simon Baker-[['a hot chocolate', 'small', 'a plain bagel'], ['a hot chocolate', 'small', 'a plain bagel'], ['a hot chocolate', 'small', 'a plain bagel'], ['a hot chocolate', 'small', 'a plain bagel'], ['a hot chocolate', 'small', 'a plain bagel'], ['a hot chocolate', 'small', 'a plain bagel'], ['a hot chocolate', 'small', 'a plain bagel'], ['a hot chocolate', 'small', 'a plain bagel'], ['a hot chocolate', 'small', 'a plain bagel'], ['a hot chocolate', 'small', 'a plain bagel'], ['a hot chocolate', 'small', 'a plain bagel'], ['a hot chocolate', 'small', 'a plain bagel'], ['a hot chocolate', 'small', 'a plain bagel'], ['a hot chocolate', 'small', 'a plain bagel'], ['a hot chocolate', 'small', 'a plain bagel']]
3:Ashley Benson-[['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', '']]
4:Sandra Oh-[['an Earl Grey', 'medium', ''], ['an Earl Grey', 'medium', ''], ['an Earl Grey', 'medium', ''], ['an Earl Grey', 'medium', ''], ['an Earl Grey', 'medium', ''], ['an Earl Grey', 'medium', ''], ['an Earl Grey', 'medium', ''], ['an Earl Grey', 'medium', ''], ['an Earl Grey', 'medium', ''], ['an Earl Grey', 'medium', ''], ['an Earl Grey', 'medium', ''], ['an Earl Grey', 'medium', ''], ['an Earl Grey', 'medium', ''], ['an Earl Grey', 'medium', ''], ['an Earl Grey', 'medium', '']]
5:Taylor Schilling-[['a black tea', 'small', 'a chocolate chip cookie'], ['a black tea', 'small', 'a chocolate chip cookie'], ['a black tea', 'small', 'a chocolate chip cookie'], ['a black tea', 'small', 'a chocolate chip cookie'], ['a black tea', 'small', 'a chocolate chip cookie'], ['a black tea', 'small', 'a chocolate chip cookie'], ['a black tea', 'small', 'a chocolate chip cookie'], ['a black tea', 'small', 'a chocolate chip cookie'], ['a black tea', 'small', 'a chocolate chip cookie'], ['a black tea', 'small', 'a chocolate chip cookie'], ['a black tea', 'small', 'a chocolate chip cookie'], ['a black tea', 'small', 'a chocolate chip cookie'], ['a black tea', 'small', 'a chocolate chip cookie'], ['a black tea', 'small', 'a chocolate chip cookie'], ['a black tea', 'small', 'a chocolate chip cookie']]
6:Lena Dunham-[['a breakfast tea', 'small', ''], ['a breakfast tea', 'small', ''], ['a breakfast tea', 'small', ''], ['a breakfast tea', 'small', ''], ['a breakfast tea', 'small', ''], ['a breakfast tea', 'small', ''], ['a breakfast tea', 'small', ''], ['a breakfast tea', 'small', ''], ['a breakfast tea', 'small', ''], ['a breakfast tea', 'small', ''], ['a breakfast tea', 'small', ''], ['a breakfast tea', 'small', ''], ['a breakfast tea', 'small', ''], ['a breakfast tea', 'small', ''], ['a breakfast tea', 'small', '']]
7:Hugh Laurie-[['a latte', 'small', 'a pain au chocolat'], ['a latte', 'small', 'a pain au chocolat'], ['a latte', 'small', 'a pain au chocolat'], ['a latte', 'small', 'a pain au chocolat'], ['a latte', 'small', 'a pain au chocolat'], ['a latte', 'small', 'a pain au chocolat'], ['a latte', 'small', 'a pain au chocolat'], ['a latte', 'small', 'a pain au chocolat'], ['a latte', 'small', 'a pain au chocolat'], ['a latte', 'small', 'a pain au chocolat'], ['a latte', 'small', 'a pain au chocolat'], ['a latte', 'small', 'a pain au chocolat'], ['a latte', 'small', 'a pain au chocolat'], ['a latte', 'small', 'a pain au chocolat'], ['a latte', 'small', 'a pain au chocolat']]
8:Kevin Costner-[['a caramel macchiato', 'medium', ''], ['a caramel macchiato', 'medium', ''], ['a caramel macchiato', 'medium', ''], ['a caramel macchiato', 'medium', ''], ['a caramel macchiato', 'medium', ''], ['a caramel macchiato', 'medium', ''], ['a caramel macchiato', 'medium', ''], ['a caramel macchiato', 'medium', ''], ['a caramel macchiato', 'medium', ''], ['a caramel macchiato', 'medium', ''], ['a caramel macchiato', 'medium', ''], ['a caramel macchiato', 'medium', ''], ['a caramel macchiato', 'medium', ''], ['a caramel macchiato', 'medium', ''], ['a caramel macchiato', 'medium', '']]
9:Cote de Pablo-[['a latte', 'medium', 'an everything bagel'], ['a latte', 'medium', 'an everything bagel'], ['a latte', 'medium', 'an everything bagel'], ['a latte', 'medium', 'an everything bagel'], ['a latte', 'medium', 'an everything bagel'], ['a latte', 'medium', 'an everything bagel'], ['a latte', 'medium', 'an everything bagel'], ['a latte', 'medium', 'an everything bagel'], ['a latte', 'medium', 'an everything bagel'], ['a latte', 'medium', 'an everything bagel'], ['a latte', 'medium', 'an everything bagel'], ['a latte', 'medium', 'an everything bagel'], ['a latte', 'medium', 'an everything bagel'], ['a latte', 'medium', 'an everything bagel'], ['a latte', 'medium', 'an everything bagel']]
10:Jon Hamm-[['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', ''], ['a white hot chocolate', 'large', '']]
11:Jessica Capshaw-[['an espresso con panna', 'small', ''], ['an espresso con panna', 'small', ''], ['an espresso con panna', 'small', ''], ['an espresso con panna', 'small', ''], ['an espresso con panna', 'small', ''], ['an espresso con panna', 'small', ''], ['an espresso con panna', 'small', ''], ['an espresso con panna', 'small', ''], ['an espresso con panna', 'small', ''], ['an espresso con panna', 'small', ''], ['an espresso con panna', 'small', ''], ['an espresso con panna', 'small', ''], ['an espresso con panna', 'small', ''], ['an espresso con panna', 'small', ''], ['an espresso con panna', 'small', '']]
12:Kerry Washington-[['a latte', 'medium', 'a blueberry oatmeal'], ['a latte', 'medium', 'a blueberry oatmeal'], ['a latte', 'medium', 'a blueberry oatmeal'], ['a latte', 'medium', 'a blueberry oatmeal'], ['a latte', 'medium', 'a blueberry oatmeal'], ['a latte', 'medium', 'a blueberry oatmeal'], ['a latte', 'medium', 'a blueberry oatmeal'], ['a latte', 'medium', 'a blueberry oatmeal'], ['a latte', 'medium', 'a blueberry oatmeal'], ['a latte', 'medium', 'a blueberry oatmeal'], ['a latte', 'medium', 'a blueberry oatmeal'], ['a latte', 'medium', 'a blueberry oatmeal'], ['a latte', 'medium', 'a blueberry oatmeal'], ['a latte', 'medium', 'a blueberry oatmeal'], ['a latte', 'medium', 'a blueberry oatmeal']]
13:John Noble-[['a flat white', 'medium', 'a pain aux raisins'], ['a flat white', 'medium', 'a pain aux raisins'], ['a flat white', 'medium', 'a pain aux raisins'], ['a flat white', 'medium', 'a pain aux raisins'], ['a flat white', 'medium', 'a pain aux raisins'], ['a flat white', 'medium', 'a pain aux raisins'], ['a flat white', 'medium', 'a pain aux raisins'], ['a flat white', 'medium', 'a pain aux raisins'], ['a flat white', 'medium', 'a pain aux raisins'], ['a flat white', 'medium', 'a pain aux raisins'], ['a flat white', 'medium', 'a pain aux raisins'], ['a flat white', 'medium', 'a pain aux raisins'], ['a flat white', 'medium', 'a pain aux raisins'], ['a flat white', 'medium', 'a pain aux raisins'], ['a flat white', 'medium', 'a pain aux raisins']]
14:Ginnifer Goodwin-[['a black tea', 'small', ''], ['a black tea', 'small', ''], ['a black tea', 'small', ''], ['a black tea', 'small', ''], ['a black tea', 'small', ''], ['a black tea', 'small', ''], ['a black tea', 'small', ''], ['a black tea', 'small', ''], ['a black tea', 'small', ''], ['a black tea', 'small', ''], ['a black tea', 'small', ''], ['a black tea', 'small', ''], ['a black tea', 'small', ''], ['a black tea', 'small', ''], ['a black tea', 'small', '']]
15:Mark Wahlberg-[['a mocha', 'small', ''], ['a mocha', 'small', ''], ['a mocha', 'small', ''], ['a mocha', 'small', ''], ['a mocha', 'small', ''], ['a mocha', 'small', ''], ['a mocha', 'small', ''], ['a mocha', 'small', ''], ['a mocha', 'small', ''], ['a mocha', 'small', ''], ['a mocha', 'small', ''], ['a mocha', 'small', ''], ['a mocha', 'small', ''], ['a mocha', 'small', ''], ['a mocha', 'small', '']]
16:Mindy Kaling-[['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', ''], ['an espresso con panna', 'medium', '']]
17:Jensen Ackles-[['a cordusio', 'large', 'an everything bagel'], ['a cordusio', 'large', 'an everything bagel'], ['a cordusio', 'large', 'an everything bagel'], ['a cordusio', 'large', 'an everything bagel'], ['a cordusio', 'large', 'an everything bagel'], ['a cordusio', 'large', 'an everything bagel'], ['a cordusio', 'large', 'an everything bagel'], ['a cordusio', 'large', 'an everything bagel'], ['a cordusio', 'large', 'an everything bagel'], ['a cordusio', 'large', 'an everything bagel'], ['a cordusio', 'large', 'an everything bagel'], ['a cordusio', 'large', 'an everything bagel'], ['a cordusio', 'large', 'an everything bagel'], ['a cordusio', 'large', 'an everything bagel'], ['a cordusio', 'large', 'an everything bagel']]
18:Anne Hathaway-[['a caramel macchiato', 'small', 'a blueberry muffin'], ['a caramel macchiato', 'small', 'a blueberry muffin'], ['a caramel macchiato', 'small', 'a blueberry muffin'], ['a caramel macchiato', 'small', 'a blueberry muffin'], ['a caramel macchiato', 'small', 'a blueberry muffin'], ['a caramel macchiato', 'small', 'a blueberry muffin'], ['a caramel macchiato', 'small', 'a blueberry muffin'], ['a caramel macchiato', 'small', 'a blueberry muffin'], ['a caramel macchiato', 'small', 'a blueberry muffin'], ['a caramel macchiato', 'small', 'a blueberry muffin'], ['a caramel macchiato', 'small', 'a blueberry muffin'], ['a caramel macchiato', 'small', 'a blueberry muffin'], ['a caramel macchiato', 'small', 'a blueberry muffin'], ['a caramel macchiato', 'small', 'a blueberry muffin'], ['a caramel macchiato', 'small', 'a blueberry muffin']]
19:Leonardo DiCaprio-[['a black tea', 'small', ''], ['a black tea', 'small', ''], ['a black tea', 'small', ''], ['a black tea', 'small', ''], ['a black tea', 'small', ''], ['a black tea', 'small', ''], ['a black tea', 'small', ''], ['a black tea', 'small', ''], ['a black tea', 'small', ''], ['a black tea', 'small', ''], ['a black tea', 'small', ''], ['a black tea', 'small', ''], ['a black tea', 'small', ''], ['a black tea', 'small', ''], ['a black tea', 'small', '']]
20:Sarah Michelle Gellar-[['a noisette', 'medium', 'a breakfast tortilla wrap'], ['a noisette', 'medium', 'a breakfast tortilla wrap'], ['a noisette', 'medium', 'a breakfast tortilla wrap'], ['a noisette', 'medium', 'a breakfast tortilla wrap'], ['a noisette', 'medium', 'a breakfast tortilla wrap'], ['a noisette', 'medium', 'a breakfast tortilla wrap'], ['a noisette', 'medium', 'a breakfast tortilla wrap'], ['a noisette', 'medium', 'a breakfast tortilla wrap'], ['a noisette', 'medium', 'a breakfast tortilla wrap'], ['a noisette', 'medium', 'a breakfast tortilla wrap'], ['a noisette', 'medium', 'a breakfast tortilla wrap'], ['a noisette', 'medium', 'a breakfast tortilla wrap'], ['a noisette', 'medium', 'a breakfast tortilla wrap'], ['a noisette', 'medium', 'a breakfast tortilla wrap'], ['a noisette', 'medium', 'a breakfast tortilla wrap']]
21:Timothy Olyphant-[['a flat white', 'medium', ''], ['a flat white', 'medium', ''], ['a flat white', 'medium', ''], ['a flat white', 'medium', ''], ['a flat white', 'medium', ''], ['a flat white', 'medium', ''], ['a flat white', 'medium', ''], ['a flat white', 'medium', ''], ['a flat white', 'medium', ''], ['a flat white', 'medium', ''], ['a flat white', 'medium', ''], ['a flat white', 'medium', ''], ['a flat white', 'medium', ''], ['a flat white', 'medium', ''], ['a flat white', 'medium', '']]
