IN,CusID,CusName,Drink,Size,Extra
1,101,Ron Perlman,an iced coffee americano,short,
2,102,Anna Gunn,an iced caramel macchiato,tall,
3,103,Ewan McGregor,an iced latte macchiato,short,a salted caramel brownie
4,104,Candice King,an iced cinnamon dolce latte,short,a PBJ sandwich
5,105,Jason Sudeikis,an iced salted caramel mocha,tall,a PBJ sandwich
6,106,Terrence Howard,a salted caramel mocha,grande,
7,103,Ewan McGregor,an iced latte macchiato,short,a salted caramel brownie
8,107,Paul Rudd,a strawberry lemonade,tall,
9,108,Melissa Rauch,a strawberry lemonade,tall,a salted caramel brownie
10,109,Megan Fox,an iced latte macchiato,grande,a fruit mix
11,110,Kat Graham,a pumpkin spice latte,tall,
12,111,Emma Stone,a pumpkin spice latte,short,a cheese toastie
13,112,Poppy Montgomery,a salted caramel mocha,short,
14,113,Kyra Sedgwick,an orange juice,short,a strawberry cheesecake
15,114,Russell Brand,an iced pumpkin spice chai latte,short,a dark chocolate bar
16,115,Tina Fey,an iced latte macchiato,short,a vegetable sandwich
17,116,Suzanne Somers,an orange juice,short,
18,117,Danai Gurira,an iced cinnamon dolce latte,tall,
19,116,Suzanne Somers,a lemonade,grande,
20,118,Daniel Radcliffe,an orange juice,tall,a cinnamon swirl
21,119,Reginald VelJohnson,an iced pumpkin spice latte,tall,a lemon cheesecake
22,119,Reginald VelJohnson,a bottle of water,short,a yogurt parfait
23,120,Claire Danes,a raspberry lemonade,grande,an egg sandwich
24,121,Reese Witherspoon,an iced latte macchiato,short,
25,122,Emma Thompson,an iced cordusio,tall,
26,123,Lyndsy Fonseca,an iced pumpkin spice latte,tall,a dark chocolate bar
27,123,Lyndsy Fonseca,an iced pumpkin spice latte,tall,a dark chocolate bar
28,124,Jenna Coleman,an iced cinnamon dolce latte,tall,
29,125,Travis Fimmel,a chai tea latte,tall,a dark chocolate bar
30,126,Carey Mulligan,a bottle of water,tall,
31,127,Beth Behrs,an iced cinnamon dolce latte,grande,a strawberry cheesecake
32,128,Sandra Bullock,an iced pumpkin spice chai latte,grande,
33,121,Reese Witherspoon,an iced latte macchiato,short,
34,129,Todd Bridges,an iced coffee mocha,tall,
35,130,Chandler Riggs,an iced cordusio,grande,a chocolate brownie
36,107,Paul Rudd,an orange juice,grande,a PBJ sandwich
37,131,Chiwetel Ejiofor,an iced coffee americano,grande,a cinnamon swirl
38,132,Lindsay Lohan,a chai tea latte,tall,
39,105,Jason Sudeikis,a bottle of water,short,
40,133,Leslie Mann,a cinnamon latte,short,
41,134,Shelley Hennig,a soy latte,grande,a PBJ sandwich
42,102,Anna Gunn,a soy latte,tall,a fruit mix
43,108,Melissa Rauch,a peach iced tea,grande,a lemon cheesecake
44,118,Daniel Radcliffe,an iced pumpkin spice latte,short,a cheese toastie
45,114,Russell Brand,an iced pumpkin spice chai latte,short,a dark chocolate bar
46,110,Kat Graham,a pumpkin spice latte,tall,
47,135,Sean Murray,an iced salted caramel mocha,tall,
48,136,James Roday,an iced salted caramel mocha,tall,
49,137,Josh Charles,an iced latte macchiato,short,
50,138,Michael Vartan,an orange juice,tall,a vegan wrap
51,104,Candice King,an iced cinnamon dolce latte,short,a PBJ sandwich
52,125,Travis Fimmel,a soy latte,short,a white chocolate cheesecake
53,139,Kathy Bates,a soy latte,short,
54,140,Cory Monteith,a peach iced tea,grande,
55,137,Josh Charles,an orange juice,tall,a dark chocolate bar
56,141,Scott Caan,an iced pumpkin spice latte,tall,a chocolate brownie
57,133,Leslie Mann,an iced latte macchiato,short,a vegan wrap
58,142,Brooke Elliott,an iced cinnamon dolce latte,tall,
59,143,Fred Armisen,an iced pumpkin spice latte,tall,a raspberry cheesecake
60,144,Josh Hutcherson,a strawberry lemonade,grande,
61,145,Victor Garber,an iced cinnamon dolce latte,grande,a lemon cheesecake
62,146,Busy Philipps,an iced pumpkin spice latte,short,
63,147,Eddie McClintock,a bottle of water,grande,a dark chocolate bar
64,147,Eddie McClintock,an iced coffee americano,grande,a vegetable sandwich
65,148,Chris Messina,a chai tea latte,grande,
66,112,Poppy Montgomery,an iced latte macchiato,grande,a raspberry cheesecake
67,149,Amy Brenneman,a salted caramel mocha,short,a salted caramel brownie
68,149,Amy Brenneman,an iced caramel macchiato,short,
69,150,Ansel Elgort,a bottle of water,tall,
70,151,John Cusack,an iced caramel macchiato,short,
71,152,Mads Mikkelsen,an iced cordusio,tall,
72,153,Lisa Whelchel,a lemonade,short,a granola bar
73,139,Kathy Bates,a bottle of water,grande,
74,153,Lisa Whelchel,an iced latte macchiato,short,a strawberry cheesecake
75,154,David Spade,an iced coffee americano,grande,
76,152,Mads Mikkelsen,an iced cordusio,tall,
77,155,Laurie Holden,a pumpkin spice latte,tall,
78,156,Owen Wilson,a strawberry lemonade,tall,a milk chocolate bar
79,145,Victor Garber,a chai tea latte,grande,
80,146,Busy Philipps,a raspberry lemonade,grande,a whole-grain feta sandwich
81,157,Rupert Grint,a bottle of water,tall,
82,158,Ted Danson,a peach iced tea,tall,a chicken and pesto panini
83,148,Chris Messina,a chai tea latte,grande,
84,159,Kristen Wiig,an iced salted caramel mocha,short,
85,160,Kristen Bell,an iced cordusio,short,
86,160,Kristen Bell,an orange juice,tall,an egg sandwich
87,117,Danai Gurira,an orange juice,grande,a chocolate brownie
88,161,Nicole Kidman,an iced coffee americano,tall,
89,127,Beth Behrs,an iced cinnamon dolce latte,grande,a strawberry cheesecake
90,120,Claire Danes,a raspberry lemonade,grande,an egg sandwich
