IN,CusID,CusName,Drink,Size,Extra
1,1,AnnaLynne McCord,a flat white,small,a doughnut
2,2,Melissa McBride,an Earl Grey,large,
3,3,Kodi Smit-McPhee,a peppermint hot chocolate,large,
4,4,Charlie Hunnam,a latte,medium,a lemon pound cake
5,5,James Spader,a noisette,small,
6,6,David Boreanaz,a white hot chocolate,medium,a blueberry muffin
7,7,Jeffrey Donovan,a green tea,large,
8,8,Ginnifer Goodwin,an iced hot chocolate,small,
9,9,Chloe Grace Moretz,a green tea,large,a doughnut
10,10,Matthew Morrison,a hot chocolate,large,a pain au chocolat
11,11,Matt Smith,a mocha,large,a blueberry muffin
12,12,Robin Tunney,a cordusio,small,an everything bagel
13,13,Charlize Theron,a salted caramel hot chocolate,large,a blueberry oatmeal
14,14,Jennifer Lawrence,a black tea,large,
15,15,Zoe Saldana,an espresso,medium,an everything bagel
16,16,Lea Michele,a salted caramel hot chocolate,large,
17,17,Rachel Bilson,a mocha,large,a chocolate chip cookie
18,18,Kerry Washington,a latte,small,
19,19,Jessica Capshaw,an espresso macchiato,medium,
20,20,Kristen Stewart,an americano,medium,a pain aux raisins
21,21,Noah Wyle,an espresso con panna,large,
22,22,Damian Lewis,an espresso macchiato,medium,an everything bagel
23,23,Robert Pattinson,a white hot chocolate,large,an almond croissant
24,24,Will Smith,a black tea,small,
25,25,Angie Harmon,a green tea,large,a veggie tortilla wrap
26,26,Ellen Pompeo,a mocha,small,an everything bagel
27,27,Felicity Huffman,an espresso con panna,medium,
28,12,Robin Tunney,a cordusio,small,an everything bagel
29,18,Kerry Washington,a latte,small,
30,28,Lena Dunham,a noisette,large,
31,29,Troian Bellisario,an espresso,medium,a blueberry oatmeal
32,30,Alyson Hannigan,an espresso macchiato,medium,
33,25,Angie Harmon,a green tea,large,a veggie tortilla wrap
34,20,Kristen Stewart,an americano,medium,a pain aux raisins
35,31,Sarah Wayne Callies,a peppermint hot chocolate,small,
36,32,Chris Colfer,an iced hot chocolate,medium,a blueberry oatmeal
37,33,RuPaul,a cordusio,small,an everything bagel
38,1,AnnaLynne McCord,a flat white,small,a doughnut
39,34,Leonardo DiCaprio,a white hot chocolate,small,a doughnut
40,35,Jonny Lee Miller,a green tea,small,a slice of banana bread
41,36,Jesse Tyler Ferguson,a hot chocolate,large,
42,19,Jessica Capshaw,an espresso macchiato,medium,
43,37,Brad Pitt,an espresso macchiato,large,
44,38,Kaley Cuoco,an Earl Grey,medium,
45,39,Hugh Laurie,a hot chocolate,medium,a classic oatmeal
46,40,Kiefer Sutherland,a salted caramel hot chocolate,small,a pain au chocolat
47,41,Ryan Gosling,a white hot chocolate,medium,a chocolate chip cookie
48,12,Robin Tunney,a cordusio,small,an everything bagel
49,5,James Spader,a noisette,small,
50,42,Jane Lynch,a black tea,medium,
51,38,Kaley Cuoco,an Earl Grey,medium,
52,40,Kiefer Sutherland,a salted caramel hot chocolate,small,a pain au chocolat
53,43,Matthew McConaughey,a mocha,small,a croissant
54,44,Mindy Kaling,a latte,medium,
55,45,Joel Kinnaman,a salted caramel hot chocolate,large,
56,27,Felicity Huffman,an espresso con panna,medium,
57,46,Sarah Michelle Gellar,a black tea,small,
58,47,Melissa Joan Hart,a mocha,large,a veggie tortilla wrap
