IN,CusID,CusName,Drink,Size,Extra
1,1,Joel Kinnaman,a noisette,large,
2,2,Kaley Cuoco,a peppermint hot chocolate,small,
3,3,Rachel Bilson,an iced hot chocolate,medium,a classic oatmeal
4,4,Justin Chambers,a latte,medium,a chocolate caramel shortbread
5,5,Ryan Gosling,a mocha,large,
6,6,America Ferrera,a hot chocolate,small,
7,7,Joshua Jackson,a latte,large,
8,8,Mindy Kaling,a white hot chocolate,medium,a blueberry muffin
9,9,Paul Reiser,a white hot chocolate,small,
10,10,Cote de Pablo,a black tea,small,
11,11,Leonardo DiCaprio,an iced hot chocolate,large,
12,1,Joel Kinnaman,a noisette,large,
13,12,Shane West,a caramel macchiato,medium,
14,13,Mark Harmon,an americano,large,
15,14,Patrick Dempsey,an Earl Grey,large,
16,15,Kerry Washington,a peppermint hot chocolate,large,a veggie tortilla wrap
17,16,Jensen Ackles,a noisette,medium,
18,17,Charlize Theron,a breakfast tea,large,
19,18,Alyson Hannigan,a cappuccino,small,
20,19,Robert Pattinson,a salted caramel hot chocolate,small,
21,20,Charlie Hunnam,an espresso macchiato,large,
22,21,Jennifer Lawrence,a breakfast tea,small,a blueberry muffin
23,22,Ginnifer Goodwin,a green tea,medium,
24,23,AnnaLynne McCord,an espresso,small,
25,24,Johnny Depp,an espresso macchiato,large,a chocolate chip cookie
26,25,Keri Russell,an Earl Grey,medium,
27,26,Sarah Wayne Callies,an Earl Grey,small,a pain au chocolat
28,27,Ty Burrell,an espresso con panna,medium,
29,18,Alyson Hannigan,a cappuccino,small,
30,28,RuPaul,a noisette,large,a croissant
31,5,Ryan Gosling,a mocha,large,
32,29,Julie Bowen,a noisette,large,a lemon pound cake
33,7,Joshua Jackson,a latte,large,
34,30,Teri Hatcher,an iced hot chocolate,large,
35,31,Alison Brie,a white hot chocolate,medium,a breakfast tortilla wrap
36,8,Mindy Kaling,a white hot chocolate,medium,a blueberry muffin
37,32,Angelina Jolie,a salted caramel hot chocolate,small,a chocolate chip cookie
