IN,CusID,CusName,Drink,Size,Extra
1,101,Michael Weatherly,a cordusio,medium,a blueberry oatmeal
2,102,Michael Hall,a latte,large,
3,103,Courteney Cox,a cappuccino,small,
4,104,Colin O'Donoghue,a caramel macchiato,small,a doughnut
5,105,Gillian Jacobs,a black tea,large,
6,106,Bryan Cranston,a noisette,small,a chocolate caramel shortbread
7,107,Sasha Alexander,a noisette,small,a chocolate caramel shortbread
8,93,Andrew Lincoln,a caramel macchiato,medium,
9,25,Lena Dunham,a black tea,small,
10,108,Anna Paquin,a flat white,small,
11,13,Robin Tunney,a green tea,small,a blueberry oatmeal
12,15,Channing Tatum,a black tea,medium,
13,109,Shailene Woodley,a caramel macchiato,medium,
14,110,Jim Parsons,an iced hot chocolate,large,
15,111,Jared Padalecki,an americano,large,
16,82,Miles Teller,a black tea,small,
17,46,Timothy Olyphant,an americano,large,
18,112,David Giuntoli,an espresso con panna,small,a pain au chocolat
19,113,Nina Dobrev,a flat white,small,a gingerbread cookie
20,114,Neil Patrick Harris,a white hot chocolate,medium,a chocolate chip muffin
21,14,Cote de Pablo,an iced hot chocolate,small,a breakfast tortilla wrap
22,115,Vincent Kartheiser,a latte,medium,
23,116,Ian Somerhalder,an espresso,small,a gingerbread cookie
24,117,Helen Hunt,an espresso macchiato,large,
25,63,Melissa McBride,a hot chocolate,small,
26,118,Blake Lively,a flat white,large,
27,108,Anna Paquin,a hot chocolate,small,
28,21,Brad Pitt,a caramel macchiato,small,
29,67,Jake Johnson,a salted caramel hot chocolate,large,a slice of banana bread
30,110,Jim Parsons,an iced hot chocolate,large,
31,119,Stana Katic,a caramel macchiato,small,a plain bagel
32,83,Kiefer Sutherland,a cappuccino,small,a chocolate chip muffin
33,80,Charlie Hunnam,a white hot chocolate,medium,
34,91,Matthew Morrison,a peppermint hot chocolate,small,
35,120,Sofia Vergara,a caramel macchiato,medium,a chocolate chip cookie
36,19,Simon Baker,a black tea,large,
37,69,Patrick Dempsey,an americano,large,a chocolate chip cookie
38,39,Noah Wyle,a hot chocolate,small,a pain aux raisins
39,11,Jensen Ackles,a noisette,large,
40,121,Vera Farmiga,a black tea,large,
41,122,Tom Welling,an espresso con panna,large,
42,123,John Ritter,a noisette,medium,
43,22,Hugh Laurie,a cappuccino,large,a gingerbread cookie
44,86,Keri Russell,an espresso,small,
45,62,Jane Lynch,an espresso con panna,small,a carrot cake
46,124,Lucy Hale,an americano,large,
47,125,Christopher Gorham,an americano,small,
48,58,Mayim Bialik,an Earl Grey,small,
49,80,Charlie Hunnam,a white hot chocolate,medium,
50,126,Pauley Perrette,a black tea,medium,
51,127,Christina Hendricks,a latte,small,
52,128,Yvette Nicole Brown,an espresso,small,a croissant
53,68,Jennifer Lawrence,an espresso con panna,small,
54,129,Megan Boone,a flat white,medium,
55,121,Vera Farmiga,a black tea,large,
56,125,Christopher Gorham,an americano,small,
57,37,David Schwimmer,an Earl Grey,large,a doughnut
58,130,Karen Gillan,a cappuccino,large,a blueberry oatmeal
59,114,Neil Patrick Harris,a white hot chocolate,medium,a chocolate chip muffin
60,32,Kaley Cuoco,a salted caramel hot chocolate,medium,a blueberry muffin
61,21,Brad Pitt,a caramel macchiato,small,
62,116,Ian Somerhalder,an espresso,small,a gingerbread cookie
63,131,Timothy Hutton,a white hot chocolate,small,a lemon pound cake
64,132,David Duchovny,a green tea,medium,
65,133,Chris Hemsworth,a caramel macchiato,medium,
66,27,Aaron Paul,a peppermint hot chocolate,medium,
