IN,CusID,CusName,Drink,Size,Extra
1,101,Eric Dane,a strawberry lemonade,grande,
2,102,Candice King,an iced pumpkin spice latte,short,a white chocolate cheesecake
3,103,Michael Fassbender,a bottle of water,tall,
4,104,Sandra Bullock,a peach iced tea,grande,a vegetable sandwich
5,105,Kat Graham,an iced cordusio,tall,a white chocolate cheesecake
6,106,Leslie Mann,an iced pumpkin spice latte,short,
7,107,Christian Kane,an orange juice,short,
8,108,Josh Charles,an iced cinnamon dolce latte,short,a granola bar
9,109,Beth Behrs,an iced coffee mocha,grande,
10,110,Ansel Elgort,an iced cordusio,grande,
11,111,Steve Carell,an iced coffee americano,grande,
12,108,Josh Charles,an iced cinnamon dolce latte,short,a granola bar
13,112,Chiwetel Ejiofor,an orange juice,short,
14,113,Reese Witherspoon,an iced cordusio,short,a strawberry cheesecake
15,114,Kyra Sedgwick,a salted caramel mocha,tall,a strawberry cheesecake
16,115,Lyndsy Fonseca,a bottle of water,grande,an egg sandwich
17,116,Fred Armisen,an orange juice,grande,a lemon cheesecake
18,117,Emma Stone,an iced latte macchiato,tall,
19,118,David Spade,an iced pumpkin spice chai latte,grande,a salted caramel brownie
20,119,Busy Philipps,an orange juice,grande,
21,120,Daniel Radcliffe,a salted caramel mocha,grande,a tomato and mozzarella panini
22,121,Alexander Skarsgard,a strawberry lemonade,tall,
23,122,Missy Peregrym,a raspberry lemonade,short,
24,123,Terrence Howard,an iced coffee mocha,grande,
25,124,Poppy Montgomery,a lemonade,short,
26,125,Reginald VelJohnson,a lemonade,short,a vegetable sandwich
27,126,Suzanne Somers,a bottle of water,short,
28,127,Travis Fimmel,an iced cordusio,short,a chicken and pesto panini
29,128,Anna Gunn,an iced coffee americano,grande,a strawberry cheesecake
30,129,Rupert Grint,an iced salted caramel mocha,grande,
31,130,Danai Gurira,a cinnamon latte,grande,
32,131,Owen Wilson,an iced coffee americano,tall,a milk chocolate bar
33,132,Melissa Rauch,an iced cordusio,tall,
34,133,Mark Feuerstein,a chai tea latte,grande,
35,134,Paul Rudd,a lemonade,tall,
36,107,Christian Kane,a soy latte,tall,a tomato and mozzarella panini
37,135,Michael Vartan,a salted caramel mocha,short,a cheese toastie
38,114,Kyra Sedgwick,a bottle of water,tall,a vegan wrap
39,108,Josh Charles,a chai tea latte,grande,
40,136,Scarlett Johansson,a lemonade,short,a yogurt parfait
41,137,Patricia Arquette,a raspberry lemonade,grande,a fruit mix
42,138,Victor Garber,a cinnamon latte,tall,a yogurt parfait
43,139,Laurie Holden,a peach iced tea,short,a granola bar
44,140,Eddie Redmayne,an iced latte macchiato,tall,
45,141,Sophie Turner,a lemonade,short,
46,142,Anna Kendrick,a soy latte,grande,a fruit mix
47,143,Cory Monteith,an iced coffee mocha,grande,a cheese toastie
48,144,Olga Kurylenko,an iced caramel macchiato,grande,a raspberry cheesecake
49,145,Todd Bridges,a salted caramel mocha,tall,
50,146,Emma Watson,an iced caramel macchiato,short,
51,147,Eddie McClintock,an iced cordusio,short,a lemon cheesecake
52,124,Poppy Montgomery,an iced coffee americano,short,
53,123,Terrence Howard,an iced coffee mocha,grande,
54,148,Russell Brand,a bottle of water,tall,
55,148,Russell Brand,a salted caramel mocha,grande,a milk chocolate bar
56,127,Travis Fimmel,a strawberry lemonade,short,a PBJ sandwich
57,124,Poppy Montgomery,an iced coffee americano,short,
58,103,Michael Fassbender,a bottle of water,tall,
59,113,Reese Witherspoon,an iced cordusio,short,a strawberry cheesecake
60,111,Steve Carell,a bottle of water,short,
61,113,Reese Witherspoon,an iced cordusio,short,a strawberry cheesecake
62,116,Fred Armisen,a raspberry lemonade,short,a granola bar
63,130,Danai Gurira,a raspberry lemonade,short,
64,130,Danai Gurira,a raspberry lemonade,short,
65,149,James Roday,a raspberry lemonade,short,
66,106,Leslie Mann,an iced pumpkin spice latte,short,
67,150,John Cusack,a cinnamon latte,tall,
68,151,Jesse Williams,an iced cordusio,short,
69,119,Busy Philipps,a soy latte,short,
70,152,Ron Perlman,an iced caramel macchiato,grande,
71,153,Kristen Wiig,an iced pumpkin spice latte,tall,
72,122,Missy Peregrym,an iced pumpkin spice chai latte,grande,
73,129,Rupert Grint,a bottle of water,short,a dark chocolate bar
74,115,Lyndsy Fonseca,a bottle of water,grande,an egg sandwich
75,154,Marion Cotillard,an iced coffee americano,short,a strawberry cheesecake
76,155,Shelley Hennig,an iced pumpkin spice chai latte,tall,a yogurt parfait
77,156,Charlotte Rae,a raspberry lemonade,short,an egg sandwich
78,157,Josh Hutcherson,a raspberry lemonade,tall,
79,140,Eddie Redmayne,an iced cordusio,grande,a vegan wrap
80,105,Kat Graham,an iced cordusio,tall,a white chocolate cheesecake
81,158,Kathy Bates,a pumpkin spice latte,short,a chicken and pesto panini
82,116,Fred Armisen,a raspberry lemonade,short,a granola bar
83,133,Mark Feuerstein,a peach iced tea,tall,a salted caramel brownie
84,159,Carey Mulligan,an iced cinnamon dolce latte,tall,
85,133,Mark Feuerstein,a peach iced tea,tall,a salted caramel brownie
86,160,Garrett Hedlund,a lemonade,grande,
87,161,Billy Campbell,a cinnamon latte,tall,a milk chocolate bar
88,127,Travis Fimmel,a strawberry lemonade,short,a PBJ sandwich
89,146,Emma Watson,an iced caramel macchiato,short,
90,152,Ron Perlman,an iced caramel macchiato,grande,
91,134,Paul Rudd,a lemonade,tall,
92,162,Hayden Christensen,an iced pumpkin spice chai latte,grande,
93,163,Amy Brenneman,a salted caramel mocha,short,
94,164,Chandler Riggs,a cinnamon latte,tall,
95,165,Simon Pegg,a strawberry lemonade,grande,
96,156,Charlotte Rae,a raspberry lemonade,short,an egg sandwich
97,106,Leslie Mann,an iced caramel macchiato,short,a PBJ sandwich
98,115,Lyndsy Fonseca,a bottle of water,grande,an egg sandwich
99,166,Chris Messina,a lemonade,short,
100,167,Chandra Wilson,a raspberry lemonade,short,
101,168,Ted Danson,an iced cordusio,short,
102,117,Emma Stone,an iced latte macchiato,tall,
103,169,Jason Sudeikis,an iced coffee mocha,tall,
104,135,Michael Vartan,a salted caramel mocha,short,a cheese toastie
105,130,Danai Gurira,a raspberry lemonade,short,
106,124,Poppy Montgomery,a strawberry lemonade,short,an egg sandwich
107,145,Todd Bridges,a salted caramel mocha,tall,
108,102,Candice King,an iced pumpkin spice latte,short,a white chocolate cheesecake
109,134,Paul Rudd,a lemonade,tall,
110,112,Chiwetel Ejiofor,an orange juice,short,
111,166,Chris Messina,a lemonade,short,
112,113,Reese Witherspoon,an iced cordusio,short,a strawberry cheesecake
113,169,Jason Sudeikis,an iced caramel macchiato,tall,a tomato and mozzarella panini
114,154,Marion Cotillard,a lemonade,grande,a white chocolate cheesecake
115,170,Jason Bateman,a strawberry lemonade,short,a granola bar
116,139,Laurie Holden,a peach iced tea,short,a granola bar
117,146,Emma Watson,an iced caramel macchiato,short,
118,151,Jesse Williams,an iced cordusio,short,
119,123,Terrence Howard,an iced coffee mocha,grande,
120,143,Cory Monteith,an iced coffee mocha,grande,a cheese toastie
121,139,Laurie Holden,a peach iced tea,short,a granola bar
122,115,Lyndsy Fonseca,a cinnamon latte,tall,a vegan wrap
123,115,Lyndsy Fonseca,a bottle of water,grande,an egg sandwich
124,165,Simon Pegg,a strawberry lemonade,grande,
125,155,Shelley Hennig,an iced caramel macchiato,short,
126,171,Lily James,a strawberry lemonade,short,a whole-grain feta sandwich
127,172,Gina Bellman,an iced latte macchiato,grande,
128,139,Laurie Holden,a salted caramel mocha,tall,
129,154,Marion Cotillard,a lemonade,grande,a white chocolate cheesecake
130,123,Terrence Howard,an iced pumpkin spice chai latte,short,
131,121,Alexander Skarsgard,an iced coffee mocha,short,
132,171,Lily James,a strawberry lemonade,short,a whole-grain feta sandwich
133,173,Jenna Coleman,a bottle of water,tall,
134,173,Jenna Coleman,a lemonade,tall,a whole-grain feta sandwich
135,168,Ted Danson,a pumpkin spice latte,short,
136,118,David Spade,an iced cordusio,short,a chicken and pesto panini
137,174,Maisie Williams,a soy latte,grande,
138,175,Marg Helgenberger,a cinnamon latte,grande,
139,141,Sophie Turner,a lemonade,short,
140,144,Olga Kurylenko,an iced caramel macchiato,grande,a raspberry cheesecake
