IN,CusID,CusName,Drink,Size,Extra
1,1,Damian Lewis,a flat white,small,a chocolate chip muffin
2,2,Jim Caviezel,a cordusio,large,a blueberry oatmeal
3,3,Sarah Michelle Gellar,an espresso,medium,a pain au chocolat
4,4,Will Smith,a peppermint hot chocolate,small,
5,5,Lena Dunham,an espresso con panna,medium,a slice of banana bread
6,6,Charlize Theron,a breakfast tea,large,a blueberry oatmeal
7,7,Kiefer Sutherland,a black tea,medium,
8,1,Damian Lewis,a green tea,small,
9,8,David Schwimmer,a white hot chocolate,large,
10,9,Rachel Bilson,an Earl Grey,medium,a veggie tortilla wrap
11,1,Damian Lewis,a breakfast tea,small,
12,7,Kiefer Sutherland,a green tea,large,
13,10,Norman Reedus,a black tea,medium,
14,11,Matthew Morrison,a green tea,small,a slice of banana bread
15,12,Cote de Pablo,a salted caramel hot chocolate,small,a doughnut
16,13,Joel Kinnaman,a white hot chocolate,small,
17,14,Kerry Washington,a cordusio,medium,a gingerbread cookie
18,15,Sarah Wayne Callies,a latte,small,a pain au chocolat
19,16,Kodi Smit-McPhee,a green tea,small,a croissant
20,17,Taylor Schilling,a noisette,large,
21,3,Sarah Michelle Gellar,a hot chocolate,medium,a blueberry muffin
22,18,Angie Harmon,a breakfast tea,small,a classic oatmeal
23,19,Justin Chambers,a breakfast tea,medium,a doughnut
24,20,Jonny Lee Miller,a breakfast tea,small,
25,21,Channing Tatum,an espresso,large,
26,22,Troian Bellisario,a salted caramel hot chocolate,small,
27,23,Zoe Saldana,an americano,small,an everything bagel
28,24,John Slattery,a flat white,medium,a lemon pound cake
29,25,Miles Teller,an espresso con panna,large,
30,26,Julie Bowen,an espresso con panna,small,a chocolate caramel shortbread
31,27,Leighton Meester,an espresso macchiato,medium,
32,28,Alyson Hannigan,a latte,small,a breakfast tortilla wrap
33,29,Jake Johnson,a latte,small,
34,30,David Boreanaz,a breakfast tea,medium,a croissant
35,31,Emily Deschanel,a mocha,medium,a lemon pound cake
36,32,Ginnifer Goodwin,a cappuccino,small,a chocolate caramel shortbread
37,30,David Boreanaz,a cordusio,small,
38,33,Mark Harmon,a latte,large,a chocolate caramel shortbread
39,34,Roseanne Barr,a white hot chocolate,small,a classic oatmeal
40,26,Julie Bowen,a peppermint hot chocolate,medium,
41,35,Ty Burrell,a cappuccino,medium,a carrot cake
42,36,Matthew Rhys,a white hot chocolate,small,
43,37,Jessica Capshaw,a mocha,medium,a lemon pound cake
44,38,Sandra Oh,a salted caramel hot chocolate,small,a pain au chocolat
45,39,Patrick Dempsey,an americano,medium,a blueberry muffin
46,40,Robin Tunney,a caramel macchiato,small,
47,5,Lena Dunham,an espresso con panna,medium,a slice of banana bread
48,41,Aaron Paul,an iced hot chocolate,medium,
49,42,Anne Hathaway,an iced hot chocolate,large,a croissant
50,9,Rachel Bilson,a breakfast tea,small,a carrot cake
51,18,Angie Harmon,a breakfast tea,small,a classic oatmeal
52,43,Brad Pitt,a black tea,large,a plain bagel
53,35,Ty Burrell,a cappuccino,medium,a carrot cake
54,44,Melissa McBride,an espresso macchiato,large,a gingerbread cookie
55,39,Patrick Dempsey,an americano,medium,a blueberry muffin
56,45,Michael Emerson,a latte,small,a plain bagel
57,46,Charlie Hunnam,a caramel macchiato,small,
58,18,Angie Harmon,a green tea,medium,
59,30,David Boreanaz,a breakfast tea,small,a gingerbread cookie
60,46,Charlie Hunnam,a caramel macchiato,small,
61,47,Kevin Bacon,an espresso macchiato,large,
62,21,Channing Tatum,a green tea,medium,
63,48,Joel McHale,a breakfast tea,large,a breakfast tortilla wrap
64,49,Mindy Kaling,an americano,large,a slice of banana bread
65,10,Norman Reedus,a latte,medium,
66,50,Ellen Pompeo,a cappuccino,large,an almond croissant
67,51,Josh Radnor,a salted caramel hot chocolate,medium,
68,52,Matt Smith,a peppermint hot chocolate,medium,a gingerbread cookie
69,14,Kerry Washington,a cordusio,medium,a gingerbread cookie
70,53,AnnaLynne McCord,an espresso macchiato,small,
71,54,Shane West,a peppermint hot chocolate,large,a pain au chocolat
72,55,Angelina Jolie,a black tea,large,a plain bagel
73,56,Simon Baker,a breakfast tea,medium,a classic oatmeal
74,4,Will Smith,an Earl Grey,large,
75,57,Johnny Depp,a caramel macchiato,medium,
76,58,Keri Russell,a green tea,large,a lemon pound cake
77,40,Robin Tunney,a cordusio,large,a double chocolate muffin
78,50,Ellen Pompeo,a breakfast tea,small,
79,59,John Noble,a latte,small,
80,36,Matthew Rhys,a white hot chocolate,small,
81,12,Cote de Pablo,a salted caramel hot chocolate,small,a doughnut
82,45,Michael Emerson,a latte,small,a plain bagel
83,10,Norman Reedus,a latte,medium,
84,60,Timothy Olyphant,a black tea,large,
85,31,Emily Deschanel,a white hot chocolate,large,a veggie tortilla wrap
86,46,Charlie Hunnam,a caramel macchiato,small,
87,6,Charlize Theron,a flat white,large,
88,53,AnnaLynne McCord,a cappuccino,large,
89,61,Paul Reiser,a cordusio,large,
90,45,Michael Emerson,an Earl Grey,large,a croissant
91,24,John Slattery,an espresso con panna,small,a plain bagel
92,57,Johnny Depp,a white hot chocolate,large,
93,62,Jane Lynch,a flat white,small,
94,8,David Schwimmer,a cappuccino,medium,a blueberry muffin
95,23,Zoe Saldana,an americano,small,an everything bagel
96,63,Jeffrey Donovan,a caramel macchiato,small,
97,64,Chris Colfer,an espresso,medium,
98,22,Troian Bellisario,a salted caramel hot chocolate,small,
99,23,Zoe Saldana,an americano,small,an everything bagel
100,37,Jessica Capshaw,a mocha,medium,a lemon pound cake
101,65,Ariana Grande,an Earl Grey,medium,
