IN,CusID,CusName,Drink,Size,Extra
1,101,John Ritter,a caramel macchiato,large,a lemon pound cake
2,50,Ashley Benson,a latte,medium,
3,85,Norman Reedus,an espresso macchiato,medium,a carrot cake
4,7,Chloe Grace Moretz,an americano,medium,a carrot cake
5,85,Norman Reedus,an Earl Grey,medium,a veggie tortilla wrap
6,102,Jared Padalecki,an espresso macchiato,large,
7,61,Anna Torv,an Earl Grey,medium,
8,103,Jeff Bridges,a white hot chocolate,medium,an almond croissant
9,92,Charlize Theron,an espresso,large,
10,55,Melissa Joan Hart,an Earl Grey,small,
11,104,Ed O'Neill,a cappuccino,medium,a blueberry muffin
12,31,Kristen Stewart,a latte,large,
13,105,Lisa Kudrow,a cordusio,small,a blueberry muffin
14,10,Taylor Schilling,a hot chocolate,medium,
15,106,Helen Hunt,a breakfast tea,medium,
16,107,Jim Parsons,a cordusio,small,a carrot cake
17,41,Cote de Pablo,a green tea,large,a slice of banana bread
18,108,Jake Gyllenhaal,a white hot chocolate,large,a plain bagel
19,21,Alison Brie,a mocha,medium,
20,68,Ginnifer Goodwin,a flat white,medium,a breakfast tortilla wrap
21,102,Jared Padalecki,an americano,large,a chocolate chip cookie
22,26,Josh Radnor,a flat white,small,a plain bagel
23,22,Joshua Jackson,a caramel macchiato,small,a pain au chocolat
24,109,Max Greenfield,a cappuccino,small,
25,110,Joyce DeWitt,an Earl Grey,medium,
26,111,Blake Lively,a salted caramel hot chocolate,large,
27,21,Alison Brie,a cappuccino,medium,a croissant
28,74,Justin Chambers,a hot chocolate,large,a doughnut
29,112,Liam Hemsworth,a salted caramel hot chocolate,medium,
30,21,Alison Brie,a breakfast tea,large,a breakfast tortilla wrap
31,104,Ed O'Neill,an iced hot chocolate,small,
32,83,David Boreanaz,a noisette,small,
33,113,Chris Hemsworth,a salted caramel hot chocolate,small,an almond croissant
34,30,Ed Westwick,a salted caramel hot chocolate,small,a chocolate chip muffin
35,86,Simon Baker,a black tea,medium,a plain bagel
36,114,Tatiana Maslany,an iced hot chocolate,small,
37,27,Matthew Morrison,a green tea,small,
38,55,Melissa Joan Hart,a salted caramel hot chocolate,large,
39,115,Timothy Hutton,a caramel macchiato,small,a chocolate chip cookie
40,116,Joelle Carter,a peppermint hot chocolate,large,a classic oatmeal
41,7,Chloe Grace Moretz,an espresso,medium,
42,117,Edie Falco,a salted caramel hot chocolate,small,a lemon pound cake
43,91,Will Smith,a peppermint hot chocolate,medium,
44,98,Matt Smith,a flat white,small,
45,118,David Giuntoli,a breakfast tea,large,a classic oatmeal
46,40,Roseanne Barr,a black tea,large,a blueberry muffin
47,119,Simon Helberg,an espresso macchiato,small,a pain au chocolat
48,120,Yvette Nicole Brown,an espresso,medium,
49,24,Rachel Bilson,a white hot chocolate,medium,
50,121,Jessica Pare,a hot chocolate,medium,a slice of banana bread
51,12,David Schwimmer,an americano,large,
52,122,Josh Dallas,a green tea,medium,a pain au chocolat
53,123,Paul Wesley,a peppermint hot chocolate,small,
54,68,Ginnifer Goodwin,an Earl Grey,small,
55,124,Misha Collins,a caramel macchiato,small,
56,90,Robin Tunney,an espresso macchiato,large,
57,125,Tom Mison,a salted caramel hot chocolate,medium,a blueberry oatmeal
58,21,Alison Brie,an espresso con panna,small,
59,126,Karen Gillan,a hot chocolate,medium,
60,127,David Duchovny,a caramel macchiato,small,a breakfast tortilla wrap
61,128,Anna Paquin,an espresso con panna,large,a plain bagel
62,52,America Ferrera,a mocha,small,a classic oatmeal
63,129,Jennifer Carpenter,a cappuccino,large,a gingerbread cookie
64,130,Cybill Shepherd,a cappuccino,small,a breakfast tortilla wrap
65,131,Vera Farmiga,a green tea,large,a doughnut
66,128,Anna Paquin,a peppermint hot chocolate,small,a croissant
67,69,Jane Lynch,a white hot chocolate,medium,
68,20,Anne Hathaway,a white hot chocolate,large,an almond croissant
69,42,Alyson Hannigan,a caramel macchiato,large,
70,132,Connie Britton,a salted caramel hot chocolate,small,a breakfast tortilla wrap
71,133,Kunal Nayyar,an iced hot chocolate,large,a gingerbread cookie
72,123,Paul Wesley,a hot chocolate,small,
73,16,Kevin Bacon,a salted caramel hot chocolate,small,a carrot cake
74,104,Ed O'Neill,an americano,large,a breakfast tortilla wrap
75,134,Ian Somerhalder,an americano,small,a croissant
76,135,Damon Wayans Jr.,a hot chocolate,small,a doughnut
77,79,Felicity Huffman,a cordusio,large,
78,136,Emilia Clarke,a noisette,large,
79,67,Melissa McBride,a caramel macchiato,large,a blueberry muffin
80,43,Troian Bellisario,a breakfast tea,medium,a pain au chocolat
81,40,Roseanne Barr,a cappuccino,medium,a double chocolate muffin
