1 Could I have an iced cordusio , please ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Short , please .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No , that is it .	So that would be a short iced cordusio . Is that right ?|So that would be a short iced cordusio . Did I get that right ?|Your order is a short iced cordusio . Is that right ?|Your order is a short iced cordusio . Did I get that right ?
4 Yes !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Can I get an iced salted caramel mocha , please ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Short cup .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 Just the drink .	So that would be a short iced salted caramel mocha . Is that right ?|So that would be a short iced salted caramel mocha . Did I get that right ?|Your order is a short iced salted caramel mocha . Is that right ?|Your order is a short iced salted caramel mocha . Did I get that right ?
4 Indeed !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 May I have an iced salted caramel mocha ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Short would do .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 That would be it .	So that would be a short iced salted caramel mocha . Is that right ?|So that would be a short iced salted caramel mocha . Did I get that right ?|Your order is a short iced salted caramel mocha . Is that right ?|Your order is a short iced salted caramel mocha . Did I get that right ?
4 Yes !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Can I get an iced coffee americano , please ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Short , thank you !	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 Just the drink , please .	So that would be a short iced coffee americano . Is that right ?|So that would be a short iced coffee americano . Did I get that right ?|Your order is a short iced coffee americano . Is that right ?|Your order is a short iced coffee americano . Did I get that right ?
4 Indeed !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 May I get a raspberry lemonade ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Short , thank you !	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No , that is it .	So that would be a short raspberry lemonade . Is that right ?|So that would be a short raspberry lemonade . Did I get that right ?|Your order is a short raspberry lemonade . Is that right ?|Your order is a short raspberry lemonade . Did I get that right ?
4 Yeah .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Could I have an iced salted caramel mocha , please ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Tall would do .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No , thanks .	So that would be a tall iced salted caramel mocha . Is that right ?|So that would be a tall iced salted caramel mocha . Did I get that right ?|Your order is a tall iced salted caramel mocha . Is that right ?|Your order is a tall iced salted caramel mocha . Did I get that right ?
4 Yes !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Could I get a bottle of water ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Grande , thank you !	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 That is it .	So that would be a grande bottle of water . Is that right ?|So that would be a grande bottle of water . Did I get that right ?|Your order is a grande bottle of water . Is that right ?|Your order is a grande bottle of water . Did I get that right ?
4 That sounds right !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Could I get a strawberry lemonade ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Tall , thank you !	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 Just the drink , please .	So that would be a tall strawberry lemonade . Is that right ?|So that would be a tall strawberry lemonade . Did I get that right ?|Your order is a tall strawberry lemonade . Is that right ?|Your order is a tall strawberry lemonade . Did I get that right ?
4 That is correct .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Can I get an iced latte macchiato , please ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Short cup .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 Just the drink , please .	So that would be a short iced latte macchiato . Is that right ?|So that would be a short iced latte macchiato . Did I get that right ?|Your order is a short iced latte macchiato . Is that right ?|Your order is a short iced latte macchiato . Did I get that right ?
4 Yes !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 An iced latte macchiato .	Which size ?|Which size would you like ?|Which size for the cup ?
2 Short cup .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 That is it .	So that would be a short iced latte macchiato . Is that right ?|So that would be a short iced latte macchiato . Did I get that right ?|Your order is a short iced latte macchiato . Is that right ?|Your order is a short iced latte macchiato . Did I get that right ?
4 Definitely .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Could I have an iced pumpkin spice chai latte , please ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Grande , please .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No , thanks .	So that would be a grande iced pumpkin spice chai latte . Is that right ?|So that would be a grande iced pumpkin spice chai latte . Did I get that right ?|Your order is a grande iced pumpkin spice chai latte . Is that right ?|Your order is a grande iced pumpkin spice chai latte . Did I get that right ?
4 That is correct .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 I would like an iced pumpkin spice latte .	Which size ?|Which size would you like ?|Which size for the cup ?
2 Tall , please .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 That would be it .	So that would be a tall iced pumpkin spice latte . Is that right ?|So that would be a tall iced pumpkin spice latte . Did I get that right ?|Your order is a tall iced pumpkin spice latte . Is that right ?|Your order is a tall iced pumpkin spice latte . Did I get that right ?
4 That is correct .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 A chai tea latte .	Which size ?|Which size would you like ?|Which size for the cup ?
2 Tall , thank you !	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 Just the drink , please .	So that would be a tall chai tea latte . Is that right ?|So that would be a tall chai tea latte . Did I get that right ?|Your order is a tall chai tea latte . Is that right ?|Your order is a tall chai tea latte . Did I get that right ?
4 Definitely .	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 Could I get an iced caramel macchiato , please ?	Which size ?|Which size would you like ?|Which size for the cup ?
2 Tall .	Would you like anything else with that ?|Anything else ?|Would you like a delicious snack with that ?|Can I offer you anything to go with your drink ?
3 No , thanks .	So that would be a tall iced caramel macchiato . Is that right ?|So that would be a tall iced caramel macchiato . Did I get that right ?|Your order is a tall iced caramel macchiato . Is that right ?|Your order is a tall iced caramel macchiato . Did I get that right ?
4 Yes !	Your order will be ready at the next counter .|You can pick up your order at the next counter .|We will get that ready for you at the next counter .

1 May I have a raspberry lemonade ?	Which size ?|Which size would you like ?|Which size for the cup ?
